Date,Close/Last,Volume,Open,High,Low
2023-12-29,$192.53 ,42672150,$193.90 ,$194.40 ,$191.73 
2023-12-28,$193.58 ,34049900,$194.14 ,$194.66 ,$193.17 
2023-12-27,$193.15 ,48087680,$192.49 ,$193.50 ,$191.09 
2023-12-26,$193.05 ,28919310,$193.61 ,$193.89 ,$192.83 
2023-12-22,$193.60 ,37149570,$195.18 ,$195.41 ,$192.97 
2023-12-21,$194.68 ,46482550,$196.10 ,$197.08 ,$193.50 
2023-12-20,$194.83 ,52242820,$196.90 ,$197.68 ,$194.83 
2023-12-19,$196.94 ,40714050,$196.16 ,$196.95 ,$195.89 
2023-12-18,$195.89 ,55751860,$196.09 ,$196.63 ,$194.39 
2023-12-15,$197.57 ,128538400,$197.53 ,$198.40 ,$197.00 
2023-12-14,$198.11 ,66831570,$198.02 ,$199.62 ,$196.16 
2023-12-13,$197.96 ,70404180,$195.09 ,$198.00 ,$194.85 
2023-12-12,$194.71 ,52696900,$193.08 ,$194.72 ,$191.72 
2023-12-11,$193.18 ,60943700,$193.11 ,$193.49 ,$191.42 
2023-12-08,$195.71 ,53406360,$194.20 ,$195.99 ,$193.67 
2023-12-07,$194.27 ,47477660,$193.63 ,$195.00 ,$193.59 
2023-12-06,$192.32 ,41089740,$194.45 ,$194.76 ,$192.11 
2023-12-05,$193.42 ,66628400,$190.21 ,$194.40 ,$190.18 
2023-12-04,$189.43 ,43389520,$189.98 ,$190.05 ,$187.45 
2023-12-01,$191.24 ,45704820,$190.33 ,$191.56 ,$189.23 
2023-11-30,$189.95 ,48794370,$189.84 ,$190.32 ,$188.19 
2023-11-29,$189.37 ,43014220,$190.90 ,$192.09 ,$188.97 
2023-11-28,$190.40 ,38415420,$189.78 ,$191.08 ,$189.40 
2023-11-27,$189.79 ,40552610,$189.92 ,$190.67 ,$188.90 
2023-11-24,$189.97 ,24048340,$190.87 ,$190.90 ,$189.25 
2023-11-22,$191.31 ,39630010,$191.49 ,$192.93 ,$190.83 
2023-11-21,$190.64 ,38134490,$191.41 ,$191.52 ,$189.74 
2023-11-20,$191.45 ,46538610,$189.89 ,$191.91 ,$189.88 
2023-11-17,$189.69 ,50941400,$190.25 ,$190.38 ,$188.57 
2023-11-16,$189.71 ,54412920,$189.57 ,$190.96 ,$188.65 
2023-11-15,$188.01 ,53790500,$187.85 ,$189.50 ,$187.78 
2023-11-14,$187.44 ,60108380,$187.70 ,$188.11 ,$186.30 
2023-11-13,$184.80 ,43627520,$185.82 ,$186.03 ,$184.21 
2023-11-10,$186.40 ,66177920,$183.97 ,$186.57 ,$183.53 
2023-11-09,$182.41 ,53763540,$182.96 ,$184.12 ,$181.81 
2023-11-08,$182.89 ,49340280,$182.35 ,$183.45 ,$181.59 
2023-11-07,$181.82 ,70529970,$179.18 ,$182.44 ,$178.97 
2023-11-06,$179.23 ,63841310,$176.38 ,$179.43 ,$176.21 
2023-11-03,$176.65 ,79829250,$174.24 ,$176.82 ,$173.35 
2023-11-02,$177.57 ,77334750,$175.52 ,$177.78 ,$175.46 
2023-11-01,$173.97 ,56934910,$171.00 ,$174.23 ,$170.12 
2023-10-31,$170.77 ,44846020,$169.35 ,$170.90 ,$167.90 
2023-10-30,$170.29 ,51130960,$169.02 ,$171.17 ,$168.87 
2023-10-27,$168.22 ,58499130,$166.91 ,$168.96 ,$166.83 
2023-10-26,$166.89 ,70625260,$170.37 ,$171.38 ,$165.67 
2023-10-25,$171.10 ,57156960,$171.88 ,$173.06 ,$170.65 
2023-10-24,$173.44 ,43816640,$173.05 ,$173.67 ,$171.45 
2023-10-23,$173.00 ,55980110,$170.91 ,$174.01 ,$169.93 
2023-10-20,$172.88 ,64244030,$175.31 ,$175.42 ,$172.64 
2023-10-19,$175.46 ,59302860,$176.04 ,$177.84 ,$175.19 
2023-10-18,$175.84 ,54764380,$175.58 ,$177.58 ,$175.11 
2023-10-17,$177.15 ,57549350,$176.65 ,$178.42 ,$174.80 
2023-10-16,$178.72 ,52516980,$176.75 ,$179.08 ,$176.51 
2023-10-13,$178.85 ,51456080,$181.42 ,$181.93 ,$178.14 
2023-10-12,$180.71 ,56743120,$180.07 ,$182.34 ,$179.04 
2023-10-11,$179.80 ,47551100,$178.20 ,$179.85 ,$177.60 
2023-10-10,$178.39 ,43698020,$178.10 ,$179.72 ,$177.95 
2023-10-09,$178.99 ,42390770,$176.81 ,$179.05 ,$175.80 
2023-10-06,$177.49 ,57266680,$173.80 ,$177.99 ,$173.18 
2023-10-05,$174.91 ,48527920,$173.79 ,$175.45 ,$172.68 
2023-10-04,$173.66 ,53020290,$171.09 ,$174.21 ,$170.97 
2023-10-03,$172.40 ,49594610,$172.26 ,$173.63 ,$170.82 
2023-10-02,$173.75 ,52164540,$171.22 ,$174.30 ,$170.93 
2023-09-29,$171.21 ,51861080,$172.02 ,$173.07 ,$170.34 
2023-09-28,$170.69 ,56294420,$169.34 ,$172.03 ,$167.62 
2023-09-27,$170.43 ,66921810,$172.62 ,$173.04 ,$169.05 
2023-09-26,$171.96 ,64588950,$174.82 ,$175.20 ,$171.66 
2023-09-25,$176.08 ,46172740,$174.20 ,$176.97 ,$174.15 
2023-09-22,$174.79 ,56725390,$174.67 ,$177.08 ,$174.05 
2023-09-21,$173.93 ,63149120,$174.55 ,$176.30 ,$173.86 
2023-09-20,$175.49 ,58436180,$179.26 ,$179.70 ,$175.40 
2023-09-19,$179.07 ,51826940,$177.52 ,$179.63 ,$177.13 
2023-09-18,$177.97 ,67257570,$176.48 ,$179.38 ,$176.17 
2023-09-15,$175.01 ,109259500,$176.48 ,$176.50 ,$173.82 
2023-09-14,$175.74 ,60895760,$174.00 ,$176.10 ,$173.58 
2023-09-13,$174.21 ,84267930,$176.51 ,$177.30 ,$173.98 
2023-09-12,$176.30 ,90370190,$179.49 ,$180.13 ,$174.82 
2023-09-11,$179.36 ,58953050,$180.07 ,$180.30 ,$177.34 
2023-09-08,$178.18 ,65602070,$178.35 ,$180.24 ,$177.79 
2023-09-07,$177.56 ,112488800,$175.18 ,$178.21 ,$173.54 
2023-09-06,$182.91 ,81755820,$188.40 ,$188.85 ,$181.47 
2023-09-05,$189.70 ,45280030,$188.28 ,$189.98 ,$187.61 
2023-09-01,$189.46 ,45766500,$189.49 ,$189.92 ,$188.28 
2023-08-31,$187.87 ,60794470,$187.84 ,$189.12 ,$187.48 
2023-08-30,$187.65 ,60813890,$184.94 ,$187.85 ,$184.74 
2023-08-29,$184.12 ,53003950,$179.70 ,$184.90 ,$179.50 
2023-08-28,$180.19 ,43820700,$180.09 ,$180.59 ,$178.55 
2023-08-25,$178.61 ,51449590,$177.38 ,$179.15 ,$175.82 
2023-08-24,$176.38 ,54945800,$180.67 ,$181.10 ,$176.01 
2023-08-23,$181.12 ,52722750,$178.52 ,$181.55 ,$178.33 
2023-08-22,$177.23 ,42084250,$177.06 ,$177.68 ,$176.25 
2023-08-21,$175.84 ,46311880,$175.07 ,$176.13 ,$173.74 
2023-08-18,$174.49 ,61172150,$172.30 ,$175.10 ,$171.96 
2023-08-17,$174.00 ,66062880,$177.14 ,$177.51 ,$173.48 
2023-08-16,$176.57 ,46964860,$177.13 ,$178.54 ,$176.50 
2023-08-15,$177.45 ,43622590,$178.88 ,$179.48 ,$177.05 
2023-08-14,$179.46 ,43675630,$177.97 ,$179.69 ,$177.31 
2023-08-11,$177.79 ,52036670,$177.32 ,$178.62 ,$176.55 
2023-08-10,$177.97 ,54686850,$179.48 ,$180.75 ,$177.60 
2023-08-09,$178.19 ,60378490,$180.87 ,$180.93 ,$177.01 
2023-08-08,$179.80 ,67823000,$179.69 ,$180.27 ,$177.58 
2023-08-07,$178.85 ,97576070,$182.13 ,$183.13 ,$177.35 
2023-08-04,$181.99 ,115956800,$185.52 ,$187.38 ,$181.92 
2023-08-03,$191.17 ,62243280,$191.57 ,$192.37 ,$190.69 
2023-08-02,$192.58 ,50389330,$195.04 ,$195.18 ,$191.85 
2023-08-01,$195.61 ,35281430,$196.24 ,$196.73 ,$195.28 
2023-07-31,$196.45 ,38824110,$196.06 ,$196.49 ,$195.26 
2023-07-28,$195.83 ,48291440,$194.67 ,$196.63 ,$194.14 
2023-07-27,$193.22 ,47460180,$196.02 ,$197.20 ,$192.55 
2023-07-26,$194.50 ,47471870,$193.67 ,$195.64 ,$193.32 
2023-07-25,$193.62 ,37283200,$193.33 ,$194.44 ,$192.92 
2023-07-24,$192.75 ,45505100,$193.41 ,$194.91 ,$192.25 
2023-07-21,$191.94 ,71951680,$194.10 ,$194.97 ,$191.23 
2023-07-20,$193.13 ,59581200,$195.09 ,$196.47 ,$192.50 
2023-07-19,$195.10 ,80507320,$193.10 ,$198.23 ,$192.65 
2023-07-18,$193.73 ,48353770,$193.35 ,$194.33 ,$192.42 
2023-07-17,$193.99 ,50520160,$191.90 ,$194.32 ,$191.81 
2023-07-14,$190.69 ,41616240,$190.23 ,$191.18 ,$189.63 
2023-07-13,$190.54 ,41342340,$190.50 ,$191.19 ,$189.78 
2023-07-12,$189.77 ,60750250,$189.68 ,$191.70 ,$188.47 
2023-07-11,$188.08 ,46638120,$189.16 ,$189.30 ,$186.60 
2023-07-10,$188.61 ,59922160,$189.26 ,$189.99 ,$187.04 
2023-07-07,$190.68 ,46815000,$191.41 ,$192.67 ,$190.24 
2023-07-06,$191.81 ,45156010,$189.84 ,$192.02 ,$189.20 
2023-07-05,$191.33 ,46920260,$191.57 ,$192.98 ,$190.62 
2023-07-03,$192.46 ,31346600,$193.78 ,$193.88 ,$191.76 
2023-06-30,$193.97 ,85213220,$191.63 ,$194.48 ,$191.26 
2023-06-29,$189.59 ,46347310,$189.08 ,$190.07 ,$188.94 
2023-06-28,$189.25 ,51216800,$187.93 ,$189.90 ,$187.60 
2023-06-27,$188.06 ,50730850,$185.89 ,$188.39 ,$185.67 
2023-06-26,$185.27 ,48088660,$186.83 ,$188.05 ,$185.23 
2023-06-23,$186.68 ,53117000,$185.55 ,$187.56 ,$185.01 
2023-06-22,$187.00 ,51245330,$183.74 ,$187.05 ,$183.67 
2023-06-21,$183.96 ,49515700,$184.90 ,$185.41 ,$182.59 
2023-06-20,$185.01 ,49799090,$184.41 ,$186.10 ,$184.41 
2023-06-16,$184.92 ,101256200,$186.73 ,$186.99 ,$184.27 
2023-06-15,$186.01 ,65433170,$183.96 ,$186.52 ,$183.78 
2023-06-14,$183.95 ,57462880,$183.37 ,$184.39 ,$182.02 
2023-06-13,$183.31 ,54929130,$182.80 ,$184.15 ,$182.44 
2023-06-12,$183.79 ,54755000,$181.27 ,$183.89 ,$180.97 
2023-06-09,$180.96 ,48899970,$181.50 ,$182.23 ,$180.63 
