Date,Close/Last,Volume,Open,High,Low
10/10/2025,$216.37 ,72367510,$226.21 ,$228.25 ,$216.00 
10/9/2025,$227.74 ,46412120,$225.00 ,$228.21 ,$221.75 
10/8/2025,$225.22 ,46685990,$222.92 ,$226.73 ,$221.19 
10/7/2025,$221.78 ,31194680,$220.88 ,$222.89 ,$220.17 
10/6/2025,$220.90 ,43690880,$221.00 ,$221.73 ,$216.03 
10/3/2025,$219.51 ,43639030,$223.44 ,$224.20 ,$219.34 
10/2/2025,$222.41 ,41258590,$221.01 ,$222.81 ,$218.95 
10/1/2025,$220.63 ,43933830,$217.36 ,$222.15 ,$216.61 
9/30/2025,$219.57 ,48396370,$222.03 ,$222.24 ,$217.89 
9/29/2025,$222.17 ,44259180,$220.08 ,$222.60 ,$219.30 
9/26/2025,$219.78 ,41650100,$219.08 ,$221.05 ,$218.02 
9/25/2025,$218.15 ,52226330,$220.06 ,$220.67 ,$216.47 
9/24/2025,$220.21 ,49509030,$224.15 ,$224.56 ,$219.45 
9/23/2025,$220.71 ,70956190,$227.83 ,$227.86 ,$220.07 
9/22/2025,$227.63 ,45914510,$230.56 ,$230.57 ,$227.51 
9/19/2025,$231.48 ,97943170,$232.37 ,$234.16 ,$229.70 
9/18/2025,$231.23 ,37931740,$232.50 ,$233.48 ,$228.79 
9/17/2025,$231.62 ,42815230,$233.77 ,$234.30 ,$228.71 
9/16/2025,$234.05 ,38203910,$232.94 ,$235.90 ,$232.23 
9/15/2025,$231.43 ,33243330,$230.63 ,$233.73 ,$230.32 
9/12/2025,$228.15 ,38496220,$230.35 ,$230.79 ,$226.29 
9/11/2025,$229.95 ,37485600,$231.49 ,$231.53 ,$229.34 
9/10/2025,$230.33 ,60907710,$237.52 ,$237.68 ,$229.10 
9/9/2025,$238.24 ,27033780,$236.36 ,$238.85 ,$235.08 
9/8/2025,$235.84 ,33947100,$234.94 ,$237.60 ,$233.75 
9/5/2025,$232.33 ,36721800,$235.19 ,$236.00 ,$231.93 
9/4/2025,$235.68 ,59391780,$231.19 ,$235.77 ,$230.78 
9/3/2025,$225.99 ,29223130,$225.21 ,$227.17 ,$224.36 
9/2/2025,$225.34 ,38843880,$223.52 ,$226.17 ,$221.83 
8/29/2025,$229.00 ,26199170,$231.32 ,$231.81 ,$228.16 
8/28/2025,$231.60 ,33679590,$229.01 ,$232.71 ,$228.02 
8/27/2025,$229.12 ,21254480,$228.57 ,$229.87 ,$227.81 
8/26/2025,$228.71 ,26105370,$227.11 ,$229.00 ,$226.02 
8/25/2025,$227.94 ,22633700,$227.35 ,$229.60 ,$227.31 
8/22/2025,$228.84 ,37315340,$222.79 ,$229.14 ,$220.82 
8/21/2025,$221.95 ,32140460,$222.65 ,$222.78 ,$220.50 
8/20/2025,$223.81 ,36604320,$227.12 ,$227.27 ,$220.92 
8/19/2025,$228.01 ,29891010,$230.09 ,$230.53 ,$227.12 
8/18/2025,$231.49 ,25248890,$230.23 ,$231.91 ,$228.33 
8/15/2025,$231.03 ,39649240,$232.58 ,$234.08 ,$229.81 
8/14/2025,$230.98 ,61545820,$227.40 ,$233.11 ,$227.02 
8/13/2025,$224.56 ,36508340,$222.00 ,$224.92 ,$222.00 
8/12/2025,$221.47 ,37254710,$222.23 ,$223.50 ,$219.05 
8/11/2025,$221.30 ,31646220,$221.78 ,$223.05 ,$220.40 
8/8/2025,$222.69 ,32970480,$223.14 ,$223.80 ,$221.88 
8/7/2025,$223.13 ,40603510,$221.00 ,$226.22 ,$220.82 
8/6/2025,$222.31 ,54823050,$214.70 ,$222.65 ,$213.74 
8/5/2025,$213.75 ,51505120,$213.05 ,$216.30 ,$212.87 
8/4/2025,$211.65 ,77890150,$217.40 ,$217.44 ,$211.42 
8/1/2025,$214.75 ,122258800,$217.21 ,$220.44 ,$212.80 
7/31/2025,$234.11 ,104357300,$235.77 ,$236.53 ,$231.40 
7/30/2025,$230.19 ,32993270,$231.64 ,$231.80 ,$229.29 
7/29/2025,$231.01 ,33716220,$234.15 ,$234.72 ,$230.31 
7/28/2025,$232.79 ,26300140,$233.35 ,$234.29 ,$232.25 
7/25/2025,$231.44 ,28712100,$232.22 ,$232.48 ,$231.18 
7/24/2025,$232.23 ,42902270,$229.17 ,$236.00 ,$228.64 
