Date,Close/Last,Volume,Open,High,Low
2021-12-31,$166.72 ,47830380,$168.96 ,$169.35 ,$166.56 
2021-12-30,$168.64 ,37583100,$169.70 ,$170.89 ,$168.52 
2021-12-29,$169.20 ,35754040,$170.84 ,$171.21 ,$168.60 
2021-12-28,$170.66 ,54711860,$170.18 ,$172.18 ,$169.14 
2021-12-27,$169.67 ,58846820,$171.04 ,$172.94 ,$169.22 
2021-12-23,$171.07 ,36788240,$170.43 ,$171.98 ,$170.15 
2021-12-22,$171.04 ,55035460,$169.27 ,$172.05 ,$168.50 
2021-12-21,$170.42 ,55955820,$167.85 ,$170.72 ,$165.65 
2021-12-20,$167.08 ,57372660,$166.85 ,$167.87 ,$165.60 
2021-12-17,$170.02 ,85755160,$167.71 ,$170.90 ,$165.61 
2021-12-16,$168.87 ,60876840,$173.37 ,$174.17 ,$168.16 
2021-12-15,$173.32 ,75794260,$168.60 ,$173.60 ,$165.20 
2021-12-14,$169.09 ,55975280,$167.55 ,$169.50 ,$166.44 
2021-12-13,$169.57 ,62169000,$172.00 ,$172.10 ,$169.13 
2021-12-10,$172.21 ,60689760,$175.42 ,$175.93 ,$170.50 
2021-12-09,$174.17 ,46061820,$175.75 ,$176.97 ,$174.14 
2021-12-08,$176.16 ,45253660,$176.15 ,$177.18 ,$174.75 
2021-12-07,$176.16 ,66410720,$174.60 ,$177.50 ,$173.33 
2021-12-06,$171.37 ,68860000,$169.65 ,$173.70 ,$166.93 
2021-12-03,$169.49 ,80711000,$172.75 ,$173.49 ,$166.93 
2021-12-02,$171.87 ,64725760,$173.00 ,$174.64 ,$171.19 
2021-12-01,$172.19 ,75139900,$177.25 ,$177.99 ,$172.08 
2021-11-30,$175.35 ,80022140,$178.18 ,$179.29 ,$174.60 
2021-11-29,$178.08 ,65311140,$177.38 ,$179.80 ,$176.58 
2021-11-26,$175.23 ,59825940,$180.10 ,$181.68 ,$175.21 
2021-11-24,$179.02 ,46560360,$178.13 ,$180.68 ,$176.84 
2021-11-23,$179.00 ,73844920,$179.25 ,$181.05 ,$176.39 
2021-11-22,$178.63 ,96957000,$183.82 ,$185.67 ,$178.38 
2021-11-19,$183.83 ,98924060,$185.63 ,$188.11 ,$183.79 
2021-11-18,$184.80 ,114070760,$178.32 ,$185.21 ,$178.05 
2021-11-17,$177.45 ,51205400,$178.24 ,$179.36 ,$177.27 
2021-11-16,$177.04 ,44341420,$176.95 ,$178.83 ,$176.26 
2021-11-15,$177.28 ,58594380,$176.85 ,$179.69 ,$176.29 
2021-11-12,$176.26 ,53788680,$174.25 ,$177.04 ,$172.35 
2021-11-11,$173.63 ,45288120,$175.65 ,$177.16 ,$173.37 
2021-11-10,$174.10 ,80548440,$178.19 ,$180.27 ,$173.15 
2021-11-09,$178.81 ,85898440,$175.76 ,$179.69 ,$175.07 
2021-11-08,$174.45 ,61479840,$176.16 ,$178.95 ,$174.39 
2021-11-05,$175.95 ,99939020,$173.85 ,$178.31 ,$173.85 
2021-11-04,$173.85 ,107060400,$168.50 ,$174.93 ,$168.25 
2021-11-03,$169.20 ,67943780,$165.45 ,$169.75 ,$164.88 
2021-11-02,$165.64 ,52551800,$165.75 ,$166.56 ,$164.18 
2021-11-01,$165.91 ,72177580,$168.09 ,$168.79 ,$164.60 
2021-10-29,$168.62 ,129721540,$165.00 ,$168.74 ,$163.67 
2021-10-28,$172.33 ,114174660,$170.10 ,$173.95 ,$169.30 
2021-10-27,$169.62 ,54044480,$169.40 ,$171.85 ,$168.57 
2021-10-26,$168.80 ,53966840,$167.48 ,$170.81 ,$167.20 
2021-10-25,$166.02 ,44519120,$166.75 ,$167.39 ,$164.89 
2021-10-22,$166.78 ,62781060,$171.05 ,$171.49 ,$166.57 
2021-10-21,$171.75 ,37627700,$170.71 ,$172.01 ,$170.15 
2021-10-20,$170.75 ,42795540,$172.63 ,$173.14 ,$170.02 
2021-10-19,$172.21 ,47721580,$171.71 ,$172.73 ,$171.10 
2021-10-18,$172.34 ,63482300,$169.42 ,$172.46 ,$169.26 
2021-10-15,$170.45 ,103598820,$165.57 ,$170.52 ,$165.20 
2021-10-14,$164.99 ,42240400,$165.12 ,$165.63 ,$164.54 
2021-10-13,$164.21 ,48501720,$163.49 ,$164.42 ,$163.05 
2021-10-12,$162.37 ,36391420,$162.85 ,$163.38 ,$161.81 
2021-10-11,$162.32 ,40684060,$163.75 ,$164.63 ,$161.91 
2021-10-08,$164.43 ,39964340,$165.85 ,$166.07 ,$164.41 
2021-10-07,$165.12 ,48181500,$164.58 ,$166.29 ,$164.15 
2021-10-06,$163.10 ,50659540,$160.68 ,$163.22 ,$159.93 
2021-10-05,$161.05 ,65384160,$160.23 ,$163.04 ,$160.12 
2021-10-04,$159.49 ,90461140,$163.97 ,$164.00 ,$158.81 
2021-10-01,$164.16 ,56712340,$164.45 ,$165.46 ,$162.80 
2021-09-30,$164.25 ,56940660,$165.80 ,$166.39 ,$163.70 
2021-09-29,$165.06 ,51245360,$166.11 ,$167.57 ,$164.89 
2021-09-28,$165.80 ,88616380,$167.89 ,$168.46 ,$164.51 
