Date,Close/Last,Volume,Open,High,Low
10/10/2025,$324.63 ,28941010,$345.39 ,$350.60 ,$324.05 
10/9/2025,$345.02 ,17643740,$345.75 ,$347.31 ,$340.40 
10/8/2025,$345.50 ,21478340,$333.82 ,$346.54 ,$332.62 
10/7/2025,$336.41 ,18086710,$337.03 ,$338.11 ,$326.58 
10/6/2025,$335.49 ,18465730,$335.92 ,$344.13 ,$334.56 
10/3/2025,$338.37 ,14749070,$341.50 ,$344.40 ,$335.74 
10/2/2025,$338.18 ,19917620,$347.61 ,$347.61 ,$335.25 
10/1/2025,$333.39 ,21122690,$328.15 ,$337.95 ,$324.50 
9/30/2025,$329.91 ,20109460,$330.12 ,$331.05 ,$324.61 
9/29/2025,$327.90 ,21336000,$336.00 ,$341.05 ,$327.55 
9/26/2025,$334.53 ,15464700,$337.43 ,$339.08 ,$330.58 
9/25/2025,$336.10 ,21678190,$332.99 ,$338.06 ,$327.30 
9/24/2025,$339.31 ,19677300,$339.76 ,$340.08 ,$333.81 
9/23/2025,$338.94 ,21944080,$340.24 ,$345.22 ,$337.02 
9/22/2025,$338.79 ,28660030,$342.43 ,$346.67 ,$337.94 
9/19/2025,$344.94 ,41240070,$344.65 ,$346.27 ,$336.43 
9/18/2025,$345.35 ,24663890,$350.00 ,$350.70 ,$343.79 
9/17/2025,$346.17 ,45197130,$358.85 ,$359.93 ,$341.50 
9/16/2025,$360.00 ,21306510,$365.43 ,$365.69 ,$356.99 
9/15/2025,$364.09 ,21792190,$359.87 ,$365.50 ,$356.34 
9/12/2025,$359.87 ,31949800,$362.91 ,$364.39 ,$357.16 
9/11/2025,$359.63 ,29430950,$371.18 ,$374.23 ,$358.76 
9/10/2025,$369.57 ,51086830,$351.52 ,$372.97 ,$350.55 
9/9/2025,$336.67 ,26972320,$349.55 ,$350.98 ,$335.83 
9/8/2025,$345.65 ,43535640,$342.75 ,$354.17 ,$341.25 
9/5/2025,$334.89 ,78401550,$355.78 ,$356.34 ,$331.42 
9/4/2025,$306.10 ,31220800,$305.06 ,$308.78 ,$302.25 
9/3/2025,$302.39 ,18529390,$302.29 ,$304.45 ,$296.40 
9/2/2025,$298.24 ,19693020,$289.34 ,$298.71 ,$287.17 
8/29/2025,$297.39 ,21610680,$307.01 ,$307.01 ,$293.66 
8/28/2025,$308.65 ,18907050,$302.93 ,$311.00 ,$302.33 
8/27/2025,$300.25 ,13830300,$297.53 ,$301.18 ,$293.78 
8/26/2025,$298.01 ,25689110,$294.35 ,$300.25 ,$293.99 
8/25/2025,$294.23 ,15124750,$292.81 ,$298.40 ,$291.71 
8/22/2025,$294.00 ,16301330,$291.75 ,$300.09 ,$289.01 
8/21/2025,$289.60 ,14946310,$290.06 ,$292.39 ,$286.17 
8/20/2025,$291.17 ,23600510,$295.46 ,$295.49 ,$281.87 
8/19/2025,$294.91 ,20149580,$302.42 ,$302.90 ,$292.39 
8/18/2025,$305.76 ,14724670,$302.70 ,$306.17 ,$299.00 
8/15/2025,$306.34 ,22806940,$311.03 ,$311.50 ,$299.76 
8/14/2025,$311.23 ,15717630,$307.01 ,$314.17 ,$307.00 
8/13/2025,$309.09 ,17371170,$316.75 ,$317.35 ,$304.75 
8/12/2025,$312.83 ,17624010,$306.63 ,$313.44 ,$304.67 
8/11/2025,$303.90 ,12396380,$305.05 ,$308.31 ,$301.29 
8/8/2025,$304.97 ,12458750,$304.05 ,$307.87 ,$302.55 
