Date,Close/Last,Volume,Open,High,Low
2021-12-31,$66.54 ,12046140,$66.70 ,$67.13 ,$66.33 
2021-12-30,$66.51 ,11473140,$67.31 ,$67.57 ,$66.38 
2021-12-29,$67.26 ,14799570,$66.98 ,$67.70 ,$66.91 
2021-12-28,$66.90 ,17250410,$67.76 ,$67.78 ,$66.70 
2021-12-27,$67.43 ,19445030,$66.48 ,$67.63 ,$66.45 
2021-12-23,$66.48 ,23596250,$65.61 ,$67.07 ,$65.61 
2021-12-22,$65.52 ,28382930,$64.33 ,$65.72 ,$63.93 
2021-12-21,$64.62 ,36533890,$64.81 ,$64.95 ,$63.33 
2021-12-20,$64.50 ,32770470,$62.63 ,$64.61 ,$62.51 
2021-12-17,$63.50 ,50753100,$61.75 ,$64.00 ,$61.51 
2021-12-16,$62.07 ,42748420,$63.74 ,$64.07 ,$61.15 
2021-12-15,$63.99 ,29091680,$61.56 ,$64.09 ,$61.03 
2021-12-14,$61.49 ,35956350,$61.78 ,$61.86 ,$60.56 
2021-12-13,$62.17 ,26898300,$63.40 ,$63.44 ,$62.12 
2021-12-10,$63.17 ,57086650,$62.40 ,$64.48 ,$61.86 
2021-12-09,$58.34 ,29079600,$58.25 ,$59.02 ,$58.25 
2021-12-08,$58.86 ,17997650,$59.09 ,$59.09 ,$58.24 
2021-12-07,$59.04 ,29562070,$57.20 ,$59.31 ,$57.20 
2021-12-06,$56.50 ,22482290,$56.46 ,$56.84 ,$55.60 
2021-12-03,$55.81 ,20307390,$56.49 ,$56.90 ,$55.04 
2021-12-02,$55.25 ,22618720,$54.61 ,$55.91 ,$54.40 
2021-12-01,$55.48 ,21982880,$56.35 ,$56.85 ,$55.33 
2021-11-30,$55.37 ,22577490,$56.33 ,$56.50 ,$55.20 
2021-11-29,$56.43 ,18703450,$55.62 ,$56.76 ,$55.37 
2021-11-26,$54.66 ,14219030,$55.18 ,$55.73 ,$54.33 
2021-11-24,$55.87 ,12087250,$55.32 ,$55.91 ,$54.74 
2021-11-23,$55.51 ,17109890,$55.24 ,$55.59 ,$54.85 
2021-11-22,$55.33 ,25900560,$57.17 ,$57.20 ,$55.25 
2021-11-19,$56.87 ,19630320,$57.63 ,$57.72 ,$56.59 
2021-11-18,$57.48 ,12713330,$57.11 ,$57.67 ,$56.96 
2021-11-17,$56.96 ,12532940,$56.81 ,$57.14 ,$56.41 
2021-11-16,$56.88 ,13194040,$56.41 ,$56.95 ,$56.27 
2021-11-15,$56.58 ,13972390,$56.77 ,$56.77 ,$55.98 
2021-11-12,$56.32 ,13592220,$55.84 ,$56.58 ,$55.46 
2021-11-11,$55.54 ,14157010,$55.27 ,$55.71 ,$54.88 
2021-11-10,$54.88 ,18448240,$55.43 ,$56.09 ,$54.81 
2021-11-09,$55.78 ,15838430,$55.92 ,$56.19 ,$55.51 
2021-11-08,$55.90 ,17233650,$56.20 ,$56.39 ,$55.81 
2021-11-05,$55.89 ,18673510,$55.00 ,$55.97 ,$54.98 
2021-11-04,$54.86 ,15958040,$54.38 ,$54.91 ,$54.09 
2021-11-03,$54.24 ,14037840,$53.91 ,$54.38 ,$53.38 
2021-11-02,$53.71 ,16263000,$52.74 ,$54.08 ,$52.67 
2021-11-01,$52.81 ,16895980,$53.03 ,$53.26 ,$52.49 
2021-10-29,$53.17 ,15564290,$52.35 ,$53.22 ,$52.35 
2021-10-28,$52.96 ,11875230,$52.41 ,$53.00 ,$52.34 
2021-10-27,$52.31 ,23500340,$53.18 ,$53.61 ,$52.19 
2021-10-26,$53.39 ,24043040,$52.52 ,$53.50 ,$52.40 
2021-10-25,$52.21 ,12415540,$51.75 ,$52.45 ,$51.52 
2021-10-22,$51.54 ,15367390,$51.47 ,$52.14 ,$51.30 
2021-10-21,$51.42 ,11786790,$50.94 ,$51.48 ,$50.86 
2021-10-20,$50.94 ,13458450,$51.10 ,$51.34 ,$50.84 
2021-10-19,$51.04 ,16383060,$50.43 ,$51.09 ,$50.18 
2021-10-18,$50.34 ,16042420,$50.04 ,$50.40 ,$49.87 
2021-10-15,$50.33 ,25104610,$50.44 ,$50.59 ,$50.11 
2021-10-14,$49.76 ,19232970,$49.19 ,$49.92 ,$49.08 
2021-10-13,$48.50 ,16425330,$48.12 ,$48.54 ,$47.96 
2021-10-12,$48.53 ,20990540,$49.58 ,$49.67 ,$48.20 
2021-10-11,$49.23 ,11188040,$49.12 ,$49.96 ,$49.09 
2021-10-08,$49.29 ,10279840,$49.68 ,$49.80 ,$49.13 
2021-10-07,$49.39 ,13260880,$49.26 ,$49.99 ,$49.26 
2021-10-06,$48.88 ,12041690,$48.31 ,$48.94 ,$47.97 
2021-10-05,$48.54 ,16557980,$47.59 ,$48.98 ,$47.53 
2021-10-04,$47.60 ,20092840,$48.49 ,$48.66 ,$47.28 
2021-10-01,$48.74 ,16051750,$48.79 ,$48.87 ,$47.75 
2021-09-30,$48.49 ,15735390,$49.45 ,$49.45 ,$48.45 
2021-09-29,$48.95 ,15783670,$49.36 ,$49.43 ,$48.77 
2021-09-28,$49.10 ,20124090,$49.70 ,$50.15 ,$49.05 
2021-09-27,$50.49 ,9830990,$49.98 ,$50.58 ,$49.74 
2021-09-24,$50.49 ,10607930,$50.23 ,$50.55 ,$50.08 
2021-09-23,$50.43 ,18370270,$50.25 ,$50.73 ,$50.06 
2021-09-22,$50.06 ,20610430,$49.43 ,$50.30 ,$49.22 
2021-09-21,$49.10 ,16936220,$49.35 ,$49.38 ,$48.70 
2021-09-20,$49.48 ,30105470,$49.90 ,$50.30 ,$48.84 
2021-09-17,$50.60 ,34469680,$50.40 ,$50.76 ,$50.10 
2021-09-16,$50.74 ,17569170,$50.52 ,$50.92 ,$50.02 
2021-09-15,$50.97 ,23345780,$50.21 ,$51.07 ,$49.94 
2021-09-14,$50.19 ,14134100,$50.20 ,$50.54 ,$49.84 
2021-09-13,$49.90 ,14929820,$50.20 ,$50.25 ,$49.33 
2021-09-10,$49.82 ,16110290,$49.71 ,$50.60 ,$49.65 
2021-09-09,$49.35 ,13175030,$49.29 ,$49.87 ,$49.29 
2021-09-08,$49.44 ,13986750,$49.96 ,$49.99 ,$48.81 
2021-09-07,$49.66 ,12399440,$49.76 ,$49.76 ,$49.10 
2021-09-03,$49.77 ,25204670,$49.59 ,$50.60 ,$49.50 
2021-09-02,$49.19 ,17122490,$49.58 ,$49.60 ,$49.02 
2021-09-01,$49.32 ,12585890,$49.63 ,$49.92 ,$49.29 
2021-08-31,$49.72 ,17380400,$50.13 ,$50.13 ,$49.27 
2021-08-30,$49.89 ,19613640,$50.00 ,$50.79 ,$49.83 
2021-08-27,$49.59 ,16460770,$48.80 ,$49.64 ,$48.66 
2021-08-26,$48.57 ,10837640,$48.30 ,$48.81 ,$48.06 
2021-08-25,$48.34 ,10016930,$48.16 ,$48.63 ,$48.16 
2021-08-24,$48.14 ,9429230,$48.24 ,$48.30 ,$48.02 
2021-08-23,$48.25 ,15707410,$47.63 ,$48.62 ,$47.57 
2021-08-20,$47.52 ,10008070,$47.28 ,$47.62 ,$47.04 
2021-08-19,$47.35 ,14043680,$46.64 ,$47.58 ,$46.27 
2021-08-18,$46.90 ,15616430,$47.67 ,$47.71 ,$46.83 
2021-08-17,$47.87 ,16500870,$48.56 ,$48.62 ,$47.45 
2021-08-16,$48.81 ,9188620,$48.48 ,$48.89 ,$48.44 
2021-08-13,$48.62 ,8582270,$48.26 ,$48.90 ,$48.21 
2021-08-12,$48.43 ,8702010,$48.23 ,$48.50 ,$47.67 
2021-08-11,$48.36 ,9816020,$48.48 ,$48.60 ,$47.98 
2021-08-10,$48.23 ,9320060,$48.59 ,$48.65 ,$47.78 
2021-08-09,$48.47 ,5953900,$48.65 ,$48.68 ,$48.10 
2021-08-06,$48.54 ,9964630,$48.51 ,$48.81 ,$48.40 
2021-08-05,$48.77 ,8372720,$49.04 ,$49.04 ,$48.49 
2021-08-04,$48.78 ,12124190,$48.85 ,$49.00 ,$48.40 
2021-08-03,$48.68 ,11134830,$48.55 ,$48.78 ,$48.00 
2021-08-02,$48.47 ,15621640,$48.91 ,$49.46 ,$48.35 
2021-07-30,$48.54 ,11548270,$48.20 ,$48.63 ,$47.96 
2021-07-29,$48.41 ,9161720,$47.85 ,$48.58 ,$47.74 
2021-07-28,$47.77 ,8361850,$47.67 ,$47.91 ,$47.43 
