Date,Close/Last,Volume,Open,High,Low
2021-12-31,$144.85 ,18135180,$146.05 ,$146.70 ,$144.85 
2021-12-30,$146.20 ,15687720,$146.69 ,$147.30 ,$145.99 
2021-12-29,$146.66 ,17787460,$146.64 ,$147.42 ,$145.65 
2021-12-28,$146.69 ,18254300,$148.24 ,$148.30 ,$146.05 
2021-12-27,$147.91 ,15984460,$147.26 ,$148.34 ,$147.17 
2021-12-23,$146.92 ,26383440,$146.50 ,$148.24 ,$146.45 
2021-12-22,$146.42 ,26322380,$143.07 ,$146.50 ,$143.07 
2021-12-21,$143.47 ,28755360,$142.05 ,$143.87 ,$140.50 
2021-12-20,$141.61 ,27192360,$140.00 ,$141.77 ,$139.32 
2021-12-17,$141.73 ,51017880,$142.50 ,$143.83 ,$141.30 
2021-12-16,$144.45 ,33650380,$147.17 ,$147.68 ,$143.61 
2021-12-15,$146.44 ,36370460,$143.41 ,$146.72 ,$141.68 
2021-12-14,$143.91 ,38446240,$143.97 ,$144.48 ,$141.21 
2021-12-13,$145.83 ,27069400,$147.78 ,$147.97 ,$145.52 
2021-12-10,$148.00 ,24462760,$148.70 ,$148.98 ,$146.70 
2021-12-09,$147.64 ,23269720,$147.59 ,$149.10 ,$147.12 
2021-12-08,$148.19 ,24270320,$147.60 ,$148.39 ,$146.41 
2021-12-07,$147.27 ,32240300,$145.60 ,$147.53 ,$145.23 
2021-12-06,$143.16 ,30618100,$143.04 ,$143.85 ,$140.15 
2021-12-03,$142.00 ,41230160,$143.68 ,$144.40 ,$140.30 
2021-12-02,$142.97 ,29194840,$141.25 ,$143.86 ,$140.21 
2021-12-01,$141.05 ,34055240,$144.00 ,$145.95 ,$140.91 
2021-11-30,$141.90 ,42067220,$145.01 ,$146.00 ,$141.60 
2021-11-29,$145.53 ,32595040,$144.00 ,$146.30 ,$143.89 
2021-11-26,$142.18 ,30469240,$144.35 ,$144.56 ,$141.84 
2021-11-24,$146.12 ,18040140,$145.47 ,$146.25 ,$144.37 
2021-11-23,$145.78 ,27231160,$146.15 ,$146.66 ,$144.12 
2021-11-22,$146.30 ,30629200,$149.33 ,$149.83 ,$146.15 
2021-11-19,$148.93 ,33699380,$149.98 ,$150.97 ,$148.90 
2021-11-18,$149.84 ,35628220,$148.24 ,$150.58 ,$147.88 
2021-11-17,$148.05 ,19599500,$148.03 ,$148.56 ,$147.24 
2021-11-16,$147.88 ,18904000,$148.15 ,$148.76 ,$147.31 
2021-11-15,$148.45 ,23507040,$148.90 ,$149.55 ,$147.58 
2021-11-12,$148.68 ,22360000,$146.62 ,$148.85 ,$145.41 
2021-11-11,$145.77 ,16517480,$146.49 ,$147.54 ,$145.60 
2021-11-10,$145.89 ,29969800,$147.50 ,$148.07 ,$144.54 
2021-11-09,$148.92 ,19529740,$149.23 ,$149.83 ,$147.24 
2021-11-08,$149.03 ,23052500,$149.83 ,$150.61 ,$148.43 
2021-11-05,$148.85 ,38354740,$149.17 ,$150.33 ,$148.20 
2021-11-04,$148.27 ,38411260,$147.12 ,$149.73 ,$146.31 
2021-11-03,$146.60 ,27493240,$145.90 ,$146.67 ,$144.59 
2021-11-02,$145.43 ,33482240,$144.58 ,$146.61 ,$144.34 
2021-11-01,$143.50 ,46923240,$148.05 ,$148.05 ,$143.23 
2021-10-29,$148.05 ,43320300,$145.08 ,$148.24 ,$144.65 
2021-10-28,$145.85 ,36206380,$147.13 ,$147.16 ,$144.63 
2021-10-27,$146.22 ,85781400,$139.41 ,$148.65 ,$139.41 
2021-10-26,$139.31 ,49235020,$139.26 ,$140.08 ,$138.30 
2021-10-25,$137.45 ,34412260,$137.55 ,$138.00 ,$135.42 
2021-10-22,$137.57 ,50588960,$139.15 ,$140.58 ,$136.06 
2021-10-21,$141.89 ,26292260,$141.77 ,$142.16 ,$140.50 
2021-10-20,$141.77 ,23288060,$143.34 ,$143.55 ,$141.38 
2021-10-19,$143.24 ,20163000,$143.39 ,$143.66 ,$142.60 
2021-10-18,$142.78 ,20396160,$141.08 ,$142.80 ,$141.07 
2021-10-15,$141.37 ,30274440,$141.61 ,$141.72 ,$140.76 
2021-10-14,$141.15 ,31927940,$139.47 ,$141.34 ,$138.83 
2021-10-13,$137.58 ,19662320,$137.40 ,$138.00 ,$136.52 
2021-10-12,$136.45 ,36332240,$139.48 ,$139.51 ,$135.76 
2021-10-11,$138.91 ,17953620,$139.29 ,$140.71 ,$138.86 
2021-10-08,$139.79 ,26525840,$139.58 ,$140.33 ,$139.22 
2021-10-07,$139.23 ,25110140,$138.89 ,$140.04 ,$138.65 
2021-10-06,$137.57 ,24364280,$134.75 ,$137.75 ,$134.55 
2021-10-05,$136.02 ,32403260,$134.04 ,$137.22 ,$134.04 
2021-10-04,$133.66 ,51201940,$135.96 ,$135.96 ,$131.05 
2021-10-01,$136.54 ,35360180,$134.45 ,$136.91 ,$134.07 
2021-09-30,$133.68 ,38028800,$134.26 ,$135.54 ,$133.56 
2021-09-29,$134.35 ,30848700,$136.98 ,$137.15 ,$133.87 
2021-09-28,$135.83 ,45772200,$138.66 ,$139.10 ,$135.36 
2021-09-27,$141.07 ,21881960,$140.80 ,$141.94 ,$140.07 
2021-09-24,$142.22 ,22983900,$140.54 ,$142.33 ,$140.24 
2021-09-23,$141.22 ,20951000,$140.99 ,$141.70 ,$140.40 
