Date,Close/Last,Volume,Open,High,Low
2021-12-31,$336.35 ,12870480,$343.02 ,$343.44 ,$336.27 
2021-12-30,$344.36 ,10593350,$344.00 ,$347.23 ,$343.22 
2021-12-29,$342.94 ,10747010,$346.91 ,$349.69 ,$341.64 
2021-12-28,$346.22 ,16637610,$346.63 ,$352.71 ,$345.20 
2021-12-27,$346.18 ,17795030,$338.85 ,$347.87 ,$338.01 
2021-12-23,$335.24 ,13987700,$330.10 ,$336.67 ,$328.36 
2021-12-22,$330.45 ,16764570,$333.80 ,$334.51 ,$328.26 
2021-12-21,$334.20 ,16116780,$326.41 ,$336.00 ,$323.75 
2021-12-20,$325.45 ,17901780,$329.78 ,$329.90 ,$322.53 
2021-12-17,$333.79 ,40012640,$332.80 ,$337.11 ,$330.75 
2021-12-16,$334.90 ,22635030,$338.98 ,$344.46 ,$333.74 
2021-12-15,$341.66 ,24681330,$332.49 ,$342.11 ,$323.98 
2021-12-14,$333.74 ,20461020,$328.05 ,$335.70 ,$327.65 
2021-12-13,$334.49 ,22948660,$330.95 ,$341.09 ,$329.59 
2021-12-10,$329.75 ,14527970,$332.56 ,$335.03 ,$326.37 
2021-12-09,$329.82 ,16879170,$329.54 ,$336.13 ,$328.00 
2021-12-08,$330.56 ,19937720,$325.00 ,$332.75 ,$323.07 
2021-12-07,$322.81 ,18794050,$321.57 ,$326.54 ,$321.00 
2021-12-06,$317.87 ,21758340,$308.13 ,$320.10 ,$306.34 
2021-12-03,$306.84 ,27471010,$313.73 ,$313.75 ,$299.50 
2021-12-02,$310.39 ,24396170,$311.40 ,$314.60 ,$307.20 
2021-12-01,$310.60 ,30384080,$330.29 ,$330.50 ,$310.29 
2021-11-30,$324.46 ,25390010,$335.00 ,$335.81 ,$323.43 
2021-11-29,$338.03 ,16650950,$336.89 ,$340.67 ,$335.31 
2021-11-26,$333.12 ,14750740,$335.80 ,$337.75 ,$331.90 
2021-11-24,$341.06 ,13566180,$336.00 ,$341.78 ,$332.81 
2021-11-23,$337.25 ,17224990,$338.93 ,$341.40 ,$333.50 
2021-11-22,$341.01 ,27116810,$349.05 ,$353.83 ,$340.51 
2021-11-19,$345.30 ,26488540,$342.20 ,$352.10 ,$339.90 
2021-11-18,$338.69 ,17487240,$339.72 ,$342.46 ,$335.30 
2021-11-17,$340.77 ,13602810,$344.24 ,$347.30 ,$340.10 
2021-11-16,$342.96 ,18181110,$343.83 ,$346.65 ,$340.87 
2021-11-15,$347.56 ,25076600,$344.34 ,$353.65 ,$343.20 
2021-11-12,$340.89 ,25414310,$330.18 ,$341.86 ,$329.78 
2021-11-11,$327.74 ,12376560,$329.82 ,$332.46 ,$327.00 
2021-11-10,$327.64 ,21872610,$332.49 ,$333.19 ,$325.51 
2021-11-09,$335.37 ,17556720,$340.00 ,$341.31 ,$334.47 
2021-11-08,$338.62 ,18342460,$344.42 ,$344.79 ,$338.34 
2021-11-05,$341.13 ,26872820,$340.31 ,$346.79 ,$339.64 
2021-11-04,$335.85 ,22495280,$334.01 ,$337.27 ,$332.65 
2021-11-03,$331.62 ,20786500,$327.49 ,$332.15 ,$323.20 
2021-11-02,$328.08 ,28352970,$331.38 ,$334.79 ,$323.80 
2021-11-01,$329.98 ,31518890,$326.04 ,$333.45 ,$326.00 
2021-10-29,$323.57 ,37059380,$320.19 ,$326.00 ,$319.60 
2021-10-28,$316.92 ,50806840,$312.99 ,$325.52 ,$308.11 
2021-10-27,$312.22 ,29971760,$314.19 ,$319.25 ,$312.06 
2021-10-26,$315.81 ,65654040,$328.26 ,$330.21 ,$309.60 
2021-10-25,$328.69 ,38408960,$320.30 ,$329.56 ,$319.72 
2021-10-22,$324.61 ,35224540,$326.35 ,$329.63 ,$321.11 
2021-10-21,$341.88 ,16354420,$340.28 ,$342.31 ,$337.80 
2021-10-20,$340.78 ,13639470,$343.45 ,$343.98 ,$339.45 
2021-10-19,$339.99 ,18786320,$339.65 ,$342.46 ,$337.28 
2021-10-18,$335.34 ,21585020,$328.95 ,$335.89 ,$327.50 
2021-10-15,$324.76 ,21596370,$328.68 ,$329.07 ,$322.51 
2021-10-14,$328.53 ,14302150,$328.36 ,$330.52 ,$327.10 
2021-10-13,$324.54 ,14761470,$326.97 ,$327.00 ,$322.66 
2021-10-12,$323.77 ,31658680,$323.03 ,$324.38 ,$317.37 
2021-10-11,$325.45 ,14708220,$327.63 ,$330.46 ,$325.31 
2021-10-08,$330.05 ,15946110,$331.51 ,$333.40 ,$328.71 
