Date,Close/Last,Volume,Open,High,Low
12/31/2024,$421.50 ,13246510,$426.10 ,$426.73 ,$420.66 
12/30/2024,$424.83 ,13158700,$426.06 ,$427.55 ,$421.90 
12/27/2024,$430.53 ,18117710,$434.60 ,$435.22 ,$426.35 
12/26/2024,$438.11 ,8199927,$439.08 ,$440.94 ,$436.63 
12/24/2024,$439.33 ,7164543,$434.65 ,$439.60 ,$434.19 
12/23/2024,$435.25 ,19152520,$436.74 ,$437.65 ,$432.83 
12/20/2024,$436.60 ,64263690,$433.11 ,$443.74 ,$428.63 
12/19/2024,$437.03 ,22963680,$441.62 ,$443.18 ,$436.32 
12/18/2024,$437.39 ,24444550,$451.32 ,$452.65 ,$437.02 
12/17/2024,$454.46 ,22733490,$451.01 ,$455.29 ,$449.57 
12/16/2024,$451.59 ,23598830,$447.27 ,$452.18 ,$445.28 
12/13/2024,$447.27 ,20177830,$448.44 ,$451.43 ,$445.58 
12/12/2024,$449.56 ,20834780,$449.11 ,$456.16 ,$449.11 
12/11/2024,$448.99 ,19200210,$444.05 ,$450.35 ,$444.05 
12/10/2024,$443.33 ,18469460,$444.39 ,$449.62 ,$441.60 
12/9/2024,$446.02 ,19144390,$442.60 ,$448.33 ,$440.50 
12/6/2024,$443.57 ,18821000,$442.30 ,$446.10 ,$441.77 
12/5/2024,$442.62 ,21697780,$437.92 ,$444.66 ,$436.17 
12/4/2024,$437.42 ,26009430,$433.03 ,$439.67 ,$432.63 
12/3/2024,$431.20 ,18301990,$429.84 ,$432.47 ,$427.74 
12/2/2024,$430.98 ,20207220,$421.57 ,$433.00 ,$421.31 
11/29/2024,$423.46 ,16271920,$420.09 ,$424.88 ,$417.80 
11/27/2024,$422.99 ,18332440,$425.11 ,$427.23 ,$422.02 
11/26/2024,$427.99 ,23458890,$419.59 ,$429.04 ,$418.85 
11/25/2024,$418.79 ,27691090,$418.38 ,$421.08 ,$414.85 
11/22/2024,$417.00 ,24814630,$411.37 ,$417.40 ,$411.06 
11/21/2024,$412.87 ,20780160,$419.50 ,$419.78 ,$410.29 
11/20/2024,$415.49 ,19191660,$416.87 ,$417.29 ,$410.58 
11/19/2024,$417.79 ,18133530,$413.11 ,$417.94 ,$411.55 
11/18/2024,$415.76 ,24742010,$414.87 ,$418.40 ,$412.10 
11/15/2024,$415.00 ,28247640,$419.82 ,$422.80 ,$413.64 
11/14/2024,$426.89 ,30246880,$425.00 ,$428.17 ,$420.00 
11/13/2024,$425.20 ,21502190,$421.64 ,$429.33 ,$418.21 
11/12/2024,$423.03 ,19401200,$418.25 ,$424.44 ,$417.20 
11/11/2024,$418.01 ,24503320,$422.52 ,$424.81 ,$416.00 
11/8/2024,$422.54 ,16891410,$425.32 ,$426.50 ,$421.78 
11/7/2024,$425.43 ,19901780,$421.28 ,$426.85 ,$419.88 
11/6/2024,$420.18 ,26681840,$412.42 ,$420.45 ,$410.52 
11/5/2024,$411.46 ,17626010,$408.37 ,$414.90 ,$408.08 
11/4/2024,$408.46 ,19672290,$409.80 ,$410.42 ,$405.57 
11/1/2024,$410.37 ,24230440,$409.01 ,$415.50 ,$407.50 
10/31/2024,$406.35 ,53970980,$415.36 ,$416.16 ,$406.30 
10/30/2024,$432.53 ,29749150,$437.44 ,$438.50 ,$432.10 
10/29/2024,$431.95 ,17644080,$428.00 ,$433.17 ,$425.80 
10/28/2024,$426.59 ,14882440,$431.66 ,$431.94 ,$426.30 
10/25/2024,$428.15 ,16899060,$426.76 ,$432.52 ,$426.57 
10/24/2024,$424.73 ,13581630,$425.33 ,$425.98 ,$422.40 
10/23/2024,$424.60 ,19654380,$430.86 ,$431.08 ,$422.53 
10/22/2024,$427.51 ,25482200,$418.49 ,$430.58 ,$418.04 
10/21/2024,$418.78 ,14206120,$416.12 ,$418.96 ,$413.75 
10/18/2024,$418.16 ,17145320,$417.14 ,$419.65 ,$416.26 
10/17/2024,$416.72 ,14820000,$422.36 ,$422.50 ,$415.59 
10/16/2024,$416.12 ,15508930,$415.17 ,$416.36 ,$410.48 
10/15/2024,$418.74 ,18900200,$422.18 ,$422.48 ,$415.26 
10/14/2024,$419.14 ,16653090,$417.77 ,$424.04 ,$417.52 
10/11/2024,$416.32 ,14144940,$416.14 ,$417.13 ,$413.25 
10/10/2024,$415.84 ,13848380,$415.23 ,$417.35 ,$413.15 
10/9/2024,$417.46 ,14974260,$415.86 ,$420.38 ,$414.30 
10/8/2024,$414.71 ,19229260,$410.90 ,$415.66 ,$408.17 
10/7/2024,$409.54 ,20919760,$416.00 ,$417.11 ,$409.00 
10/4/2024,$416.06 ,19190910,$418.24 ,$419.75 ,$414.97 
10/3/2024,$416.54 ,13686420,$417.63 ,$419.55 ,$414.29 
10/2/2024,$417.13 ,16582260,$422.58 ,$422.82 ,$416.71 
10/1/2024,$420.69 ,19092950,$428.45 ,$428.48 ,$418.81 
9/30/2024,$430.30 ,16854610,$428.21 ,$430.42 ,$425.37 
9/27/2024,$428.02 ,14896130,$431.52 ,$431.85 ,$427.47 
9/26/2024,$431.31 ,14492040,$435.09 ,$435.30 ,$429.13 
9/25/2024,$432.11 ,13396360,$429.83 ,$433.12 ,$428.57 
9/24/2024,$429.17 ,17015750,$433.00 ,$433.35 ,$426.10 
9/23/2024,$433.51 ,15128890,$434.28 ,$436.46 ,$430.39 
9/20/2024,$435.27 ,55167110,$437.22 ,$439.24 ,$434.22 
9/19/2024,$438.69 ,21706560,$441.23 ,$441.50 ,$436.90 
