Date,Close/Last,Volume,Open,High,Low
2025-10-10,$510.96 ,24133840,$519.64 ,$523.58 ,$509.63 
2025-10-09,$522.40 ,18343600,$522.34 ,$524.33 ,$517.40 
2025-10-08,$524.85 ,13363450,$523.28 ,$526.95 ,$523.09 
2025-10-07,$523.98 ,14615210,$528.29 ,$529.80 ,$521.44 
2025-10-06,$528.57 ,21388580,$518.61 ,$531.03 ,$518.20 
2025-10-03,$517.35 ,15112320,$517.10 ,$520.49 ,$515.00 
2025-10-02,$515.74 ,21222890,$517.64 ,$521.60 ,$510.68 
2025-10-01,$519.71 ,22632340,$514.80 ,$520.51 ,$511.69 
2025-09-30,$517.95 ,19728230,$513.24 ,$518.16 ,$509.66 
2025-09-29,$514.60 ,17617780,$511.50 ,$516.85 ,$508.88 
2025-09-26,$511.46 ,16213130,$510.06 ,$513.94 ,$506.62 
2025-09-25,$507.03 ,15786470,$508.30 ,$510.01 ,$505.04 
2025-09-24,$510.15 ,13533710,$510.38 ,$512.48 ,$506.92 
2025-09-23,$509.23 ,19799580,$513.80 ,$514.59 ,$507.31 
2025-09-22,$514.45 ,20009310,$515.59 ,$517.74 ,$512.55 
2025-09-19,$517.93 ,52474090,$510.56 ,$519.30 ,$510.31 
2025-09-18,$508.45 ,18913700,$511.49 ,$513.07 ,$507.66 
2025-09-17,$510.02 ,15816590,$510.62 ,$511.29 ,$505.93 
2025-09-16,$509.04 ,19711920,$516.88 ,$517.23 ,$508.60 
2025-09-15,$515.36 ,17143790,$508.79 ,$515.47 ,$507.00 
2025-09-12,$509.90 ,23624880,$506.65 ,$512.55 ,$503.85 
2025-09-11,$501.01 ,18881610,$502.25 ,$503.17 ,$497.88 
2025-09-10,$500.37 ,21611820,$502.98 ,$503.23 ,$496.72 
2025-09-09,$498.41 ,14410540,$501.43 ,$502.25 ,$497.70 
2025-09-08,$498.20 ,16771020,$498.11 ,$501.20 ,$495.03 
2025-09-05,$495.00 ,31994850,$509.07 ,$511.97 ,$492.37 
2025-09-04,$507.97 ,15509490,$504.30 ,$508.15 ,$503.15 
2025-09-03,$505.35 ,16345080,$503.79 ,$507.79 ,$502.32 
2025-09-02,$505.12 ,18128000,$500.47 ,$506.00 ,$496.81 
2025-08-29,$506.69 ,20961570,$508.66 ,$509.60 ,$504.49 
2025-08-28,$509.64 ,18015590,$507.09 ,$511.09 ,$505.50 
2025-08-27,$506.74 ,17277890,$502.00 ,$507.29 ,$499.90 
2025-08-26,$502.04 ,30835710,$504.36 ,$504.98 ,$498.51 
