Date,Close/Last,Volume,Open,High,Low
12/31/2021,$87.21 ,5908158,$88.05 ,$88.10 ,$87.18 
12/30/2021,$88.01 ,7382356,$88.65 ,$88.91 ,$87.77 
12/29/2021,$88.21 ,5628531,$88.50 ,$89.19 ,$87.72 
12/28/2021,$88.65 ,5614472,$89.70 ,$89.80 ,$88.52 
12/27/2021,$89.54 ,7668988,$89.70 ,$90.33 ,$89.02 
12/23/2021,$89.72 ,9655431,$90.03 ,$90.36 ,$89.06 
12/22/2021,$89.86 ,10538960,$91.27 ,$91.86 ,$89.51 
12/21/2021,$91.51 ,15822980,$91.81 ,$91.84 ,$89.71 
12/20/2021,$91.64 ,17205400,$96.42 ,$96.42 ,$91.52 
12/17/2021,$96.62 ,28961170,$97.69 ,$99.95 ,$95.81 
12/16/2021,$103.22 ,9053176,$103.95 ,$104.00 ,$102.28 
12/15/2021,$103.65 ,14452220,$100.58 ,$103.76 ,$100.24 
12/14/2021,$99.89 ,9511569,$100.00 ,$101.46 ,$99.39 
12/13/2021,$100.89 ,16317620,$102.44 ,$104.36 ,$100.52 
12/10/2021,$102.63 ,45824640,$104.29 ,$106.34 ,$100.10 
12/9/2021,$88.77 ,8615780,$89.12 ,$89.99 ,$88.24 
12/8/2021,$88.94 ,7695809,$90.05 ,$90.17 ,$87.91 
12/7/2021,$90.05 ,6803903,$89.98 ,$90.73 ,$89.21 
12/6/2021,$88.94 ,8398492,$88.34 ,$89.17 ,$87.85 
12/3/2021,$88.24 ,10808740,$90.35 ,$90.79 ,$87.72 
12/2/2021,$89.99 ,7090016,$89.40 ,$91.04 ,$89.00 
12/1/2021,$89.75 ,12085340,$91.69 ,$92.39 ,$89.66 
11/30/2021,$90.74 ,23271210,$93.02 ,$93.52 ,$90.61 
11/29/2021,$92.94 ,9552635,$93.17 ,$94.13 ,$92.87 
11/26/2021,$92.33 ,4519322,$92.89 ,$94.08 ,$92.07 
11/24/2021,$93.58 ,10908550,$92.23 ,$93.70 ,$92.15 
11/23/2021,$92.94 ,8905642,$94.16 ,$94.29 ,$92.26 
11/22/2021,$94.61 ,6489341,$93.73 ,$95.67 ,$93.41 
11/19/2021,$93.97 ,8938025,$94.81 ,$96.96 ,$93.94 
11/18/2021,$94.66 ,5727254,$95.15 ,$95.33 ,$93.50 
11/17/2021,$95.33 ,6257596,$95.76 ,$96.14 ,$94.82 
11/16/2021,$95.61 ,7392924,$94.14 ,$96.37 ,$94.02 
11/15/2021,$94.02 ,5700925,$93.82 ,$94.25 ,$92.92 
11/12/2021,$93.54 ,6435453,$94.29 ,$94.47 ,$93.43 
11/11/2021,$94.04 ,3620667,$94.11 ,$94.76 ,$93.80 
11/10/2021,$93.83 ,5828755,$94.10 ,$94.85 ,$93.36 
11/9/2021,$94.59 ,6102570,$95.11 ,$95.61 ,$94.06 
11/8/2021,$95.14 ,5056415,$95.25 ,$95.25 ,$94.31 
11/5/2021,$94.95 ,6160237,$96.20 ,$96.55 ,$94.10 
11/4/2021,$95.63 ,5857745,$96.23 ,$96.61 ,$95.32 
11/3/2021,$96.15 ,5746432,$96.50 ,$96.87 ,$94.75 
11/2/2021,$95.87 ,6229796,$93.73 ,$95.92 ,$93.50 
11/1/2021,$94.38 ,7327599,$96.00 ,$96.03 ,$93.91 
10/29/2021,$95.94 ,7578628,$95.79 ,$96.97 ,$95.46 
10/28/2021,$96.23 ,5177185,$96.65 ,$97.70 ,$95.93 
10/27/2021,$96.03 ,5941450,$96.81 ,$97.30 ,$96.00 
10/26/2021,$96.98 ,7089655,$98.30 ,$98.56 ,$96.94 
10/25/2021,$97.89 ,5083106,$98.44 ,$98.95 ,$97.55 
10/22/2021,$98.25 ,6819582,$96.29 ,$98.27 ,$96.22 
10/21/2021,$96.30 ,6224679,$96.57 ,$96.83 ,$95.71 
10/20/2021,$96.64 ,6574073,$97.27 ,$97.97 ,$96.25 
10/19/2021,$97.06 ,5616545,$97.00 ,$97.28 ,$96.32 
10/18/2021,$96.51 ,7344106,$95.50 ,$96.65 ,$95.10 
