Date,Close/Last,Volume,Open,High,Low
2024-12-31,$166.64 ,4307524,$167.20 ,$167.30 ,$165.84 
2024-12-30,$166.91 ,5254833,$166.51 ,$167.91 ,$164.55 
2024-12-27,$168.96 ,4344287,$170.38 ,$171.15 ,$167.20 
2024-12-26,$171.68 ,4103882,$170.50 ,$172.55 ,$170.50 
2024-12-24,$171.41 ,2451547,$169.70 ,$171.77 ,$169.03 
2024-12-23,$169.14 ,6518229,$169.59 ,$169.62 ,$167.17 
2024-12-20,$169.66 ,13810530,$167.73 ,$171.26 ,$165.63 
2024-12-19,$168.79 ,8386394,$167.55 ,$171.00 ,$167.40 
2024-12-18,$165.41 ,8817934,$169.41 ,$171.23 ,$165.36 
2024-12-17,$169.71 ,8940204,$170.75 ,$172.99 ,$169.27 
2024-12-16,$171.23 ,9571955,$173.84 ,$174.27 ,$170.93 
2024-12-13,$173.39 ,8351106,$175.00 ,$176.14 ,$171.64 
2024-12-12,$175.32 ,8154218,$178.00 ,$178.17 ,$174.81 
2024-12-11,$178.58 ,13188710,$178.00 ,$181.38 ,$174.83 
2024-12-10,$177.74 ,26502020,$173.46 ,$177.80 ,$171.06 
2024-12-09,$190.45 ,20157960,$196.30 ,$198.31 ,$188.93 
2024-12-06,$191.69 ,10503380,$187.00 ,$192.63 ,$186.38 
2024-12-05,$186.24 ,6398073,$189.02 ,$189.02 ,$185.85 
2024-12-04,$188.19 ,8906283,$188.00 ,$189.79 ,$185.90 
2024-12-03,$182.89 ,8917062,$181.18 ,$183.04 ,$179.11 
2024-12-02,$181.41 ,8859696,$185.29 ,$185.29 ,$181.00 
2024-11-29,$184.84 ,4628044,$184.01 ,$185.93 ,$184.00 
2024-11-27,$182.70 ,8368797,$188.96 ,$188.96 ,$182.22 
2024-11-26,$190.37 ,6427210,$188.32 ,$192.40 ,$188.32 
2024-11-25,$187.99 ,15138470,$194.50 ,$194.75 ,$187.99 
2024-11-22,$192.29 ,6879447,$193.00 ,$194.20 ,$191.06 
2024-11-21,$192.43 ,11394260,$191.94 ,$196.04 ,$191.64 
2024-11-20,$190.75 ,4860222,$190.90 ,$190.97 ,$187.82 
2024-11-19,$188.90 ,8116958,$184.89 ,$189.32 ,$184.32 
2024-11-18,$185.73 ,6291406,$184.30 ,$186.18 ,$182.88 
2024-11-15,$183.74 ,8986276,$184.52 ,$185.80 ,$182.33 
2024-11-14,$187.05 ,7804318,$188.66 ,$189.59 ,$186.71 
2024-11-13,$189.63 ,5695426,$189.00 ,$191.77 ,$188.79 
2024-11-12,$189.58 ,6629891,$188.54 ,$190.61 ,$187.20 
2024-11-11,$189.13 ,5973638,$191.05 ,$191.50 ,$187.84 
2024-11-08,$189.25 ,8520419,$186.26 ,$190.16 ,$186.26 
2024-11-07,$186.37 ,7759399,$181.08 ,$186.67 ,$180.54 
2024-11-06,$181.24 ,11084990,$178.52 ,$182.10 ,$177.42 
2024-11-05,$171.78 ,5456754,$170.47 ,$171.89 ,$170.32 
2024-11-04,$169.59 ,4804405,$170.31 ,$170.48 ,$168.73 
2024-11-01,$170.02 ,5680595,$170.15 ,$172.27 ,$169.10 
2024-10-31,$167.84 ,9477476,$170.52 ,$170.88 ,$167.40 
2024-10-30,$174.56 ,5822451,$173.98 ,$176.16 ,$172.79 
2024-10-29,$173.43 ,4122913,$172.29 ,$174.02 ,$172.29 
2024-10-28,$172.42 ,4329971,$174.05 ,$174.17 ,$172.14 
2024-10-25,$173.52 ,3674717,$174.78 ,$176.29 ,$173.10 
2024-10-24,$174.38 ,3488036,$173.32 ,$174.95 ,$172.91 
2024-10-23,$173.10 ,4830414,$174.50 ,$176.07 ,$173.01 
2024-10-22,$175.31 ,5510114,$175.45 ,$175.85 ,$174.28 
2024-10-21,$173.76 ,4198362,$174.45 ,$175.15 ,$173.16 
2024-10-18,$174.69 ,5001257,$176.80 ,$176.97 ,$174.58 
2024-10-17,$175.68 ,5473951,$177.50 ,$177.75 ,$175.14 
2024-10-16,$174.77 ,6383034,$173.50 ,$174.91 ,$171.64 
2024-10-15,$174.09 ,5848630,$176.94 ,$178.22 ,$173.75 
2024-10-14,$176.12 ,4688662,$176.55 ,$177.22 ,$175.50 
2024-10-11,$175.77 ,5869413,$175.50 ,$177.00 ,$174.40 
2024-10-10,$175.41 ,7115887,$177.65 ,$178.30 ,$174.18 
2024-10-09,$178.29 ,8120894,$174.56 ,$178.61 ,$173.81 
2024-10-08,$174.37 ,7845377,$170.60 ,$174.64 ,$170.44 
2024-10-07,$169.97 ,6790956,$170.42 ,$172.33 ,$169.55 
2024-10-04,$170.86 ,6389504,$168.71 ,$170.90 ,$168.17 
2024-10-03,$166.86 ,4735708,$166.89 ,$167.86 ,$166.24 
2024-10-02,$167.71 ,7073025,$167.60 ,$169.18 ,$167.27 
2024-10-01,$167.16 ,7595053,$170.22 ,$170.51 ,$165.97 
2024-09-30,$170.40 ,10218970,$169.50 ,$170.52 ,$166.45 
2024-09-27,$168.74 ,8974377,$168.09 ,$169.11 ,$166.51 
2024-09-26,$168.10 ,7096842,$167.65 ,$168.36 ,$166.48 
2024-09-25,$166.28 ,7142437,$167.69 ,$168.75 ,$165.66 
2024-09-24,$165.80 ,6155076,$165.74 ,$166.10 ,$163.92 
2024-09-23,$165.95 ,7916081,$167.23 ,$167.33 ,$164.26 
2024-09-20,$168.00 ,12187740,$167.13 ,$168.83 ,$166.60 
2024-09-19,$167.59 ,10075880,$167.25 ,$168.16 ,$164.51 
2024-09-18,$164.53 ,12274410,$167.62 ,$167.62 ,$163.73 
2024-09-17,$167.47 ,12580110,$170.28 ,$170.64 ,$166.77 
2024-09-16,$170.33 ,27384370,$164.99 ,$173.99 ,$164.51 
2024-09-13,$162.03 ,25727810,$173.70 ,$173.94 ,$161.00 
2024-09-12,$161.38 ,16352050,$159.04 ,$162.34 ,$157.90 
2024-09-11,$157.18 ,12630120,$156.78 ,$159.44 ,$154.84 
2024-09-10,$155.89 ,37374210,$154.23 ,$160.52 ,$153.12 
2024-09-09,$139.89 ,20233430,$142.49 ,$143.30 ,$139.51 
2024-09-06,$141.81 ,11154800,$143.79 ,$143.94 ,$139.40 
2024-09-05,$142.61 ,8733246,$141.40 ,$143.28 ,$140.31 
2024-09-04,$140.75 ,6243325,$138.44 ,$141.10 ,$137.95 
2024-09-03,$139.50 ,6831174,$140.45 ,$142.20 ,$138.83 
2024-08-30,$141.29 ,7980679,$140.33 ,$141.72 ,$140.10 
2024-08-29,$139.42 ,4588361,$139.14 ,$141.16 ,$138.85 
2024-08-28,$137.88 ,3022639,$138.83 ,$138.95 ,$136.91 
2024-08-27,$138.48 ,3872342,$137.85 ,$139.50 ,$137.74 
2024-08-26,$138.90 ,2729605,$139.39 ,$139.40 ,$138.19 
2024-08-23,$139.19 ,4544571,$138.73 ,$139.79 ,$137.26 
2024-08-22,$138.08 ,5162189,$140.70 ,$141.08 ,$137.65 
2024-08-21,$140.20 ,3776768,$138.80 ,$140.30 ,$138.55 
2024-08-20,$139.17 ,3738261,$137.82 ,$139.79 ,$137.82 
2024-08-19,$137.92 ,3641585,$137.53 ,$137.95 ,$136.46 
2024-08-16,$137.47 ,4893787,$136.79 ,$137.82 ,$136.39 
2024-08-15,$136.93 ,4698128,$136.93 ,$137.25 ,$135.72 
2024-08-14,$135.60 ,4044630,$134.04 ,$135.97 ,$134.01 
2024-08-13,$134.26 ,4324038,$132.97 ,$134.54 ,$132.81 
2024-08-12,$132.58 ,5600826,$132.25 ,$132.71 ,$131.21 
2024-08-09,$132.06 ,5597278,$128.40 ,$132.37 ,$128.34 
2024-08-08,$128.96 ,6243219,$128.00 ,$129.82 ,$127.65 
2024-08-07,$125.90 ,8617652,$128.92 ,$130.30 ,$125.75 
2024-08-06,$128.21 ,8373891,$130.54 ,$131.04 ,$128.08 
2024-08-05,$127.86 ,10354990,$127.89 ,$129.97 ,$126.66 
2024-08-02,$133.28 ,8251585,$132.77 ,$134.30 ,$131.80 
2024-08-01,$137.51 ,5906808,$139.29 ,$140.39 ,$135.77 
2024-07-31,$139.45 ,7188043,$139.69 ,$141.55 ,$138.66 
2024-07-30,$135.67 ,6505701,$139.07 ,$139.57 ,$134.96 
2024-07-29,$138.31 ,4054647,$139.27 ,$139.78 ,$137.83 
2024-07-26,$139.01 ,5139377,$138.87 ,$139.96 ,$138.38 
2024-07-25,$137.82 ,7654625,$140.15 ,$141.07 ,$137.70 
2024-07-24,$138.77 ,8018807,$141.70 ,$142.66 ,$138.40 
2024-07-23,$143.11 ,6697410,$141.30 ,$143.22 ,$141.21 
2024-07-22,$140.17 ,5387176,$139.74 ,$140.68 ,$139.12 
2024-07-19,$138.56 ,6111941,$138.35 ,$140.44 ,$138.08 
2024-07-18,$138.03 ,5998726,$139.36 ,$140.06 ,$137.20 
2024-07-17,$139.26 ,9157003,$140.48 ,$141.79 ,$138.68 
2024-07-16,$142.61 ,7181470,$143.07 ,$143.50 ,$142.05 
2024-07-15,$143.07 ,8687837,$145.73 ,$146.59 ,$141.92 
2024-07-12,$144.77 ,7361770,$142.71 ,$145.13 ,$141.26 
2024-07-11,$142.76 ,5246402,$142.36 ,$143.48 ,$141.68 
2024-07-10,$142.07 ,6350258,$141.12 ,$142.38 ,$139.74 
2024-07-09,$140.68 ,14340040,$145.13 ,$145.70 ,$138.00 
2024-07-08,$145.03 ,8622633,$144.76 ,$145.23 ,$143.43 
2024-07-05,$144.83 ,5365527,$144.95 ,$145.79 ,$144.02 
2024-07-03,$144.38 ,3560778,$143.75 ,$144.65 ,$143.50 
2024-07-02,$143.28 ,5920529,$142.63 ,$144.22 ,$142.55 
2024-07-01,$143.09 ,6552353,$141.69 ,$144.06 ,$141.07 
2024-06-28,$141.20 ,25814820,$139.44 ,$142.82 ,$139.27 
2024-06-27,$140.18 ,7518199,$139.25 ,$141.42 ,$138.81 
2024-06-26,$138.23 ,8036309,$139.49 ,$140.75 ,$138.08 
2024-06-25,$139.17 ,8469641,$139.00 ,$139.55 ,$137.56 
2024-06-24,$139.89 ,7793293,$140.00 ,$141.53 ,$139.12 
2024-06-21,$141.50 ,14930880,$143.72 ,$143.72 ,$140.44 
2024-06-20,$142.91 ,8940005,$145.32 ,$145.32 ,$141.95 
2024-06-18,$144.64 ,11629400,$141.22 ,$145.06 ,$141.22 
2024-06-17,$141.31 ,11232750,$138.80 ,$141.44 ,$138.25 
2024-06-14,$138.13 ,11330790,$139.26 ,$139.97 ,$137.38 
2024-06-13,$139.85 ,13733250,$140.43 ,$142.40 ,$138.77 
2024-06-12,$140.38 ,40871320,$134.69 ,$140.96 ,$133.96 
2024-06-11,$123.88 ,18373940,$124.05 ,$124.83 ,$122.29 
2024-06-10,$124.50 ,10190450,$125.73 ,$126.95 ,$124.05 
2024-06-07,$125.92 ,11544960,$124.21 ,$126.22 ,$123.27 
2024-06-06,$123.50 ,7347249,$122.88 ,$124.27 ,$122.25 
2024-06-05,$122.63 ,5973706,$121.65 ,$122.79 ,$120.51 
2024-06-04,$120.07 ,7367975,$119.02 ,$120.37 ,$118.72 
2024-06-03,$119.28 ,7256308,$117.53 ,$119.33 ,$117.34 
2024-05-31,$117.19 ,12755640,$116.59 ,$117.42 ,$114.55 
2024-05-30,$117.09 ,10851550,$120.17 ,$121.44 ,$117.03 
2024-05-29,$123.74 ,4735091,$122.99 ,$123.92 ,$122.77 
2024-05-28,$124.49 ,6911394,$123.24 ,$124.82 ,$123.01 
2024-05-24,$122.91 ,7173435,$123.42 ,$123.51 ,$121.42 
2024-05-23,$124.09 ,6108584,$126.55 ,$126.70 ,$123.16 
2024-05-22,$124.60 ,5705042,$124.63 ,$125.16 ,$123.30 
2024-05-21,$124.63 ,5549456,$124.46 ,$125.36 ,$123.92 
2024-05-20,$124.52 ,5989022,$123.80 ,$124.68 ,$123.24 
2024-05-17,$123.50 ,6179367,$123.18 ,$123.58 ,$122.08 
2024-05-16,$122.16 ,5159256,$121.94 ,$122.45 ,$121.21 
2024-05-15,$121.63 ,6604632,$120.17 ,$122.09 ,$119.67 
2024-05-14,$120.87 ,17811220,$116.50 ,$122.55 ,$116.13 
2024-05-13,$116.37 ,4139953,$117.13 ,$117.19 ,$116.20 
2024-05-10,$116.67 ,4122531,$117.15 ,$117.63 ,$115.91 
2024-05-09,$116.64 ,3236316,$117.39 ,$117.73 ,$116.50 
2024-05-08,$117.39 ,4635960,$117.71 ,$117.98 ,$117.11 
2024-05-07,$117.93 ,6437743,$118.00 ,$119.13 ,$117.29 
2024-05-06,$118.34 ,6052397,$116.33 ,$118.36 ,$116.18 
2024-05-03,$115.80 ,4484976,$115.98 ,$116.21 ,$115.07 
2024-05-02,$114.96 ,5001045,$115.23 ,$115.81 ,$114.26 
2024-05-01,$114.63 ,5583638,$113.91 ,$116.76 ,$113.65 
2024-04-30,$113.75 ,6234710,$115.09 ,$115.52 ,$113.69 
2024-04-29,$116.49 ,5190565,$116.99 ,$117.31 ,$115.29 
2024-04-26,$117.21 ,8355111,$117.04 ,$119.21 ,$116.15 
2024-04-25,$114.89 ,6796627,$113.63 ,$114.99 ,$112.78 
2024-04-24,$115.34 ,5791761,$115.38 ,$115.73 ,$113.88 
2024-04-23,$115.09 ,5494823,$115.17 ,$115.86 ,$114.75 
2024-04-22,$114.53 ,7125490,$116.03 ,$116.34 ,$114.34 
2024-04-19,$114.88 ,8251495,$116.12 ,$116.77 ,$114.46 
2024-04-18,$116.00 ,6662406,$118.76 ,$118.76 ,$115.70 
2024-04-17,$118.67 ,5366587,$120.98 ,$121.04 ,$118.61 
2024-04-16,$120.62 ,6999959,$120.09 ,$121.44 ,$119.75 
2024-04-15,$119.88 ,5101455,$122.18 ,$122.47 ,$119.44 
2024-04-12,$121.11 ,6196877,$121.74 ,$121.84 ,$120.42 
2024-04-11,$123.24 ,7315241,$121.72 ,$123.82 ,$121.36 
2024-04-10,$121.75 ,4509869,$121.35 ,$123.08 ,$121.32 
2024-04-09,$123.23 ,5564905,$124.35 ,$124.75 ,$121.24 
2024-04-08,$124.35 ,6119225,$125.00 ,$125.12 ,$123.76 
2024-04-05,$124.90 ,4899499,$124.42 ,$126.00 ,$124.14 
2024-04-04,$124.19 ,7588298,$127.60 ,$127.99 ,$124.03 
2024-04-03,$126.24 ,7429977,$124.26 ,$126.41 ,$124.06 
2024-04-02,$124.34 ,4862415,$124.51 ,$124.93 ,$123.43 
2024-04-01,$125.48 ,4133571,$125.54 ,$126.27 ,$124.56 
2024-03-28,$125.61 ,6587431,$125.39 ,$126.17 ,$125.20 
2024-03-27,$125.27 ,8115884,$127.33 ,$127.82 ,$124.47 
2024-03-26,$126.47 ,7063930,$126.75 ,$126.94 ,$125.84 
2024-03-25,$126.08 ,7446068,$127.67 ,$127.67 ,$126.05 
2024-03-22,$127.79 ,6659950,$129.01 ,$129.21 ,$127.55 
2024-03-21,$129.01 ,17842360,$130.52 ,$132.77 ,$128.95 
2024-03-20,$129.24 ,8373330,$129.98 ,$130.69 ,$128.27 
2024-03-19,$129.19 ,10220950,$127.75 ,$129.21 ,$126.49 
2024-03-18,$127.80 ,12231420,$127.20 ,$128.95 ,$126.88 
2024-03-15,$125.54 ,17844880,$124.04 ,$126.01 ,$123.56 
2024-03-14,$125.53 ,10965900,$127.23 ,$127.80 ,$124.94 
2024-03-13,$125.52 ,15870350,$128.00 ,$128.80 ,$124.83 
2024-03-12,$127.54 ,48536080,$126.26 ,$129.37 ,$124.60 
2024-03-11,$114.13 ,20438340,$111.61 ,$114.75 ,$111.18 
2024-03-08,$112.42 ,8312943,$114.07 ,$114.33 ,$111.54 
2024-03-07,$114.54 ,7670135,$113.94 ,$114.80 ,$112.29 
2024-03-06,$112.27 ,6706372,$111.50 ,$113.05 ,$110.67 
2024-03-05,$110.94 ,8241978,$112.82 ,$113.20 ,$110.37 
2024-03-04,$114.06 ,6588062,$113.58 ,$114.60 ,$113.39 
2024-03-01,$113.78 ,7605145,$111.68 ,$113.94 ,$111.52 
2024-02-29,$111.68 ,12193860,$111.68 ,$112.44 ,$110.64 
2024-02-28,$111.68 ,5278179,$111.26 ,$112.02 ,$111.10 
2024-02-27,$111.38 ,6593144,$110.62 ,$111.51 ,$109.79 
2024-02-26,$110.97 ,6342943,$112.00 ,$112.54 ,$110.93 
2024-02-23,$111.95 ,7504506,$112.00 ,$113.37 ,$111.71 
2024-02-22,$111.01 ,8957789,$111.49 ,$111.89 ,$109.66 
2024-02-21,$108.16 ,7867610,$106.76 ,$108.38 ,$106.51 
2024-02-20,$108.45 ,10975640,$110.54 ,$110.77 ,$107.68 
2024-02-16,$111.31 ,8936016,$113.02 ,$113.11 ,$111.25 
2024-02-15,$112.78 ,8455623,$114.25 ,$114.31 ,$112.57 
2024-02-14,$114.26 ,5946116,$114.32 ,$114.72 ,$113.53 
2024-02-13,$113.68 ,8171722,$113.79 ,$114.21 ,$113.00 
2024-02-12,$115.84 ,5439629,$116.26 ,$117.10 ,$115.38 
2024-02-09,$116.64 ,5787142,$117.06 ,$117.34 ,$115.73 
2024-02-08,$116.68 ,4472770,$117.09 ,$117.79 ,$115.97 
2024-02-07,$117.27 ,7672882,$115.80 ,$117.59 ,$115.30 
2024-02-06,$115.30 ,4639268,$116.74 ,$116.95 ,$114.98 
2024-02-05,$116.39 ,8084508,$115.53 ,$116.72 ,$114.77 
2024-02-02,$115.79 ,6499594,$115.82 ,$116.49 ,$115.16 
2024-02-01,$115.53 ,7882168,$112.91 ,$115.78 ,$112.55 
2024-01-31,$111.70 ,7386705,$113.81 ,$114.27 ,$111.67 
2024-01-30,$114.16 ,8231882,$113.36 ,$114.40 ,$112.63 
2024-01-29,$113.75 ,7014424,$114.19 ,$114.59 ,$113.01 
2024-01-26,$114.64 ,5541900,$114.64 ,$115.48 ,$114.27 
2024-01-25,$115.00 ,8877205,$114.89 ,$116.18 ,$114.35 
2024-01-24,$114.31 ,11702700,$113.42 ,$115.42 ,$113.33 
2024-01-23,$111.83 ,9185921,$110.29 ,$112.68 ,$109.56 
2024-01-22,$110.10 ,7485307,$110.06 ,$110.69 ,$109.27 
2024-01-19,$109.67 ,11163770,$109.32 ,$110.22 ,$109.02 
2024-01-18,$108.70 ,10362280,$106.99 ,$108.88 ,$106.62 
2024-01-17,$106.43 ,7771460,$106.46 ,$107.50 ,$105.68 
