Date,Close/Last,Volume,Open,High,Low
10/10/2025,$413.49,112107900,$436.54,$443.13,$411.45
10/09/2025,$435.54,69339930,$431.81,$436.35,$426.18
10/08/2025,$438.69,71192130,$437.57,$441.33,$425.23
10/07/2025,$433.09,102296100,$447.82,$452.68,$432.4501
10/06/2025,$453.25,85324880,$440.75,$453.55,$436.69
10/03/2025,$429.83,133188200,$443.285,$446.77,$416.575
10/02/2025,$436.00,137009000,$470.54,$470.75,$435.57
10/01/2025,$459.46,98122290,$443.80,$462.29,$440.75
09/30/2025,$444.72,74357960,$441.52,$445.00,$433.12
09/29/2025,$443.21,79491510,$444.35,$450.98,$439.50
09/26/2025,$440.40,101628200,$428.30,$440.47,$421.02
09/25/2025,$423.39,96746430,$435.24,$435.35,$419.08
09/24/2025,$442.79,93133570,$429.83,$444.21,$429.0301
09/23/2025,$425.85,83422690,$439.88,$440.97,$423.72
09/22/2025,$434.21,97108780,$431.11,$444.98,$429.13
09/19/2025,$426.07,93131030,$421.82,$429.47,$421.72
09/18/2025,$416.85,90454510,$428.865,$432.2199,$416.56
09/17/2025,$425.86,106133500,$415.75,$428.3121,$409.67
09/16/2025,$421.62,104285700,$414.495,$423.25,$411.43
09/15/2025,$410.04,163823700,$423.13,$425.70,$402.43
09/12/2025,$395.94,168156400,$370.94,$396.6899,$370.24
