Date,Close/Last,Volume,Open,High,Low
12/31/2020,$109.04 ,4909503,$109.66 ,$109.67 ,$108.44 
12/30/2020,$108.90 ,9571771,$107.70 ,$109.70 ,$107.40 
12/29/2020,$105.56 ,4602400,$107.00 ,$107.15 ,$105.22 
12/28/2020,$106.15 ,5157016,$107.60 ,$108.17 ,$105.95 
12/24/2020,$105.97 ,3172110,$104.76 ,$106.34 ,$104.67 
12/23/2020,$103.76 ,3320779,$104.67 ,$104.87 ,$103.60 
12/22/2020,$103.94 ,5601057,$105.07 ,$105.22 ,$102.91 
12/21/2020,$104.83 ,6116373,$103.56 ,$104.96 ,$103.32 
12/18/2020,$104.28 ,7417039,$104.00 ,$104.80 ,$103.16 
12/17/2020,$103.90 ,7779301,$104.90 ,$105.32 ,$103.85 
12/16/2020,$105.20 ,5986854,$105.65 ,$105.67 ,$103.96 
12/15/2020,$105.09 ,7403995,$105.68 ,$106.38 ,$104.42 
12/14/2020,$103.56 ,5878013,$103.77 ,$104.90 ,$103.50 
12/11/2020,$104.03 ,7492587,$104.01 ,$105.12 ,$103.22 
12/10/2020,$104.23 ,7135041,$103.00 ,$105.11 ,$102.20 
12/9/2020,$104.42 ,8204104,$106.01 ,$106.60 ,$103.51 
12/8/2020,$105.64 ,9876217,$107.78 ,$107.84 ,$105.11 
12/7/2020,$106.39 ,11792960,$106.02 ,$107.61 ,$104.97 
12/4/2020,$103.73 ,10824540,$101.51 ,$103.75 ,$100.70 
12/3/2020,$99.50 ,7358959,$101.06 ,$101.19 ,$99.43 
12/2/2020,$99.54 ,8676338,$102.00 ,$102.04 ,$99.52 
12/1/2020,$100.86 ,16164730,$98.69 ,$104.30 ,$98.52 
11/30/2020,$97.02 ,13840520,$97.56 ,$97.95 ,$96.20 
11/27/2020,$98.74 ,4367070,$98.54 ,$99.27 ,$98.05 
11/25/2020,$97.49 ,5194871,$96.20 ,$97.99 ,$96.14 
11/24/2020,$96.64 ,7022831,$98.49 ,$98.59 ,$96.02 
11/23/2020,$98.13 ,8806565,$97.16 ,$98.93 ,$96.85 
11/20/2020,$95.33 ,5335994,$96.66 ,$97.20 ,$95.30 
11/19/2020,$96.61 ,5542791,$96.77 ,$96.86 ,$95.62 
11/18/2020,$96.93 ,8526561,$98.52 ,$98.80 ,$96.37 
11/17/2020,$95.71 ,10843680,$97.98 ,$98.09 ,$95.69 
11/16/2020,$99.27 ,18436210,$96.42 ,$102.44 ,$96.36 
11/13/2020,$93.22 ,9180058,$91.54 ,$93.81 ,$91.21 
11/12/2020,$89.82 ,7481999,$90.88 ,$91.89 ,$89.78 
11/11/2020,$90.88 ,7707331,$89.50 ,$91.18 ,$89.36 
11/10/2020,$87.66 ,8350080,$88.40 ,$88.80 ,$86.70 
11/9/2020,$89.03 ,8978048,$92.20 ,$92.48 ,$88.94 
11/6/2020,$91.41 ,6402973,$89.81 ,$91.50 ,$89.05 
11/5/2020,$90.43 ,6670090,$90.42 ,$90.96 ,$89.77 
11/4/2020,$89.45 ,7620827,$88.72 ,$89.77 ,$88.46 
11/3/2020,$87.69 ,6274661,$86.19 ,$88.24 ,$86.06 
11/2/2020,$85.71 ,6597096,$84.60 ,$85.96 ,$84.53 
10/30/2020,$83.87 ,4964485,$84.43 ,$84.75 ,$83.16 
10/29/2020,$84.89 ,5845620,$84.27 ,$85.33 ,$84.02 
10/28/2020,$83.85 ,8727340,$85.15 ,$85.41 ,$83.84 
10/27/2020,$86.71 ,5315791,$86.96 ,$87.22 ,$85.98 
10/26/2020,$86.73 ,5567997,$87.21 ,$87.78 ,$85.77 
10/23/2020,$88.31 ,4165381,$88.25 ,$88.45 ,$87.43 
10/22/2020,$88.21 ,5659769,$88.44 ,$88.94 ,$87.88 
10/21/2020,$87.64 ,7387647,$88.00 ,$88.87 ,$87.57 
10/20/2020,$88.26 ,7358557,$87.79 ,$88.98 ,$87.77 
10/19/2020,$87.56 ,7994502,$88.34 ,$89.62 ,$87.29 
10/16/2020,$86.70 ,7460246,$88.55 ,$88.59 ,$86.44 
10/15/2020,$88.15 ,10335230,$87.29 ,$89.49 ,$87.19 
