Date,Close/Last,Volume,Open,High,Low
10/14/2025,$295.94,16567870,$295.63,$301.75,$291.3426
10/13/2025,$302.89,20318270,$298.235,$304.63,$292.32
10/10/2025,$280.66,23398000,$299.955,$300.20,$280.33
10/09/2025,$299.88,10259890,$302.305,$302.83,$297.42
10/08/2025,$304.52,12821210,$295.00,$306.40,$293.98
10/07/2025,$294.03,13080970,$306.62,$307.10,$293.28
10/06/2025,$302.40,15785030,$300.01,$307.30,$299.935
10/03/2025,$292.19,10572490,$292.86,$296.0634,$290.49
10/02/2025,$288.11,10197960,$296.52,$296.72,$287.031
10/01/2025,$288.47,14620140,$278.435,$290.48,$277.17
09/30/2025,$279.29,8348796,$275.32,$279.49,$273.83
09/29/2025,$273.23,8046187,$276.49,$279.87,$273.23
09/26/2025,$273.36,10451890,$273.89,$275.50,$270.62
09/25/2025,$276.66,11863400,$273.12,$277.14,$270.19
09/24/2025,$280.71,10230970,$280.305,$281.21,$276.7177
09/23/2025,$282.71,17830320,$282.395,$286.00,$280.00
09/22/2025,$272.63,15630290,$266.54,$276.36,$265.45
09/19/2025,$264.87,17640250,$266.37,$266.57,$262.8102
09/18/2025,$268.64,16917300,$258.00,$270.54,$257.98
09/17/2025,$262.79,10422030,$264.34,$264.81,$259.73
09/16/2025,$262.06,10381850,$265.92,$266.4383,$260.61
09/15/2025,$261.38,8147738,$260.00,$262.80,$258.75
09/12/2025,$259.33,8496585,$260.85,$260.95,$258.38
09/11/2025,$258.91,10004970,$260.345,$261.64,$258.2301
09/10/2025,$260.44,18822430,$258.87,$264.58,$257.75
09/09/2025,$250.92,13443420,$246.93,$254.7299,$246.93
09/08/2025,$247.19,12986600,$241.99,$247.88,$241.62
09/05/2025,$243.41,14056570,$240.24,$244.55,$237.90
09/04/2025,$235.21,6241940,$231.35,$235.31,$230.30
09/03/2025,$231.39,7198492,$231.515,$232.445,$228.60
09/02/2025,$228.39,13974900,$226.15,$229.34,$225.6301
08/29/2025,$230.87,15526020,$235.84,$235.95,$230.58
