Date,Close/Last,Volume,Open,High,Low
2021-12-31,$120.31 ,3888151,$121.35 ,$121.75 ,$120.22 
2021-12-30,$120.42 ,4187802,$121.00 ,$121.55 ,$120.19 
2021-12-29,$121.41 ,5847669,$121.80 ,$123.15 ,$120.97 
2021-12-28,$122.06 ,6322707,$123.38 ,$123.66 ,$121.87 
2021-12-27,$122.70 ,6316917,$121.22 ,$123.26 ,$121.20 
2021-12-23,$120.68 ,6512512,$120.96 ,$121.79 ,$119.84 
2021-12-22,$121.30 ,9300126,$116.92 ,$121.44 ,$116.83 
2021-12-21,$117.44 ,6122925,$116.07 ,$117.50 ,$115.08 
2021-12-20,$114.94 ,6980781,$115.92 ,$116.62 ,$113.91 
2021-12-17,$116.32 ,11765680,$116.29 ,$117.49 ,$115.93 
2021-12-16,$116.57 ,9116058,$120.34 ,$120.75 ,$116.14 
2021-12-15,$120.40 ,6700712,$116.79 ,$120.51 ,$116.48 
2021-12-14,$116.29 ,6267349,$115.44 ,$116.98 ,$115.25 
2021-12-13,$116.42 ,5854263,$118.86 ,$119.03 ,$116.39 
2021-12-10,$119.13 ,5973913,$120.00 ,$120.79 ,$118.24 
2021-12-09,$119.50 ,6103894,$121.18 ,$122.09 ,$119.49 
2021-12-08,$121.80 ,5795681,$121.63 ,$122.22 ,$120.11 
2021-12-07,$122.32 ,7459249,$120.54 ,$122.58 ,$120.26 
2021-12-06,$119.14 ,5681181,$118.89 ,$119.50 ,$116.58 
2021-12-03,$119.33 ,7809043,$121.00 ,$121.85 ,$117.98 
2021-12-02,$121.70 ,8425542,$120.35 ,$123.40 ,$120.02 
2021-12-01,$120.63 ,12939400,$119.22 ,$123.51 ,$119.22 
2021-11-30,$117.15 ,10561770,$118.10 ,$120.17 ,$115.76 
2021-11-29,$119.28 ,7633952,$118.36 ,$119.88 ,$117.90 
2021-11-26,$117.09 ,6766865,$117.50 ,$119.04 ,$116.52 
2021-11-24,$120.71 ,6992624,$120.00 ,$120.87 ,$118.40 
2021-11-23,$121.36 ,10983990,$122.72 ,$123.20 ,$119.52 
2021-11-22,$124.75 ,16086020,$123.50 ,$128.09 ,$123.21 
2021-11-19,$124.26 ,9076350,$122.03 ,$124.80 ,$122.02 
2021-11-18,$123.39 ,13229660,$119.97 ,$123.56 ,$119.80 
2021-11-17,$119.06 ,6391350,$118.00 ,$119.55 ,$117.51 
2021-11-16,$118.08 ,5555127,$117.69 ,$118.38 ,$117.16 
2021-11-15,$118.12 ,5156986,$119.32 ,$119.64 ,$117.51 
2021-11-12,$118.69 ,6947202,$118.39 ,$118.82 ,$117.27 
2021-11-11,$118.19 ,6993951,$119.26 ,$120.47 ,$117.80 
2021-11-10,$118.20 ,9046064,$119.60 ,$120.80 ,$117.68 
2021-11-09,$121.78 ,10874130,$121.25 ,$123.27 ,$120.17 
2021-11-08,$120.91 ,15776320,$118.39 ,$122.25 ,$117.05 
2021-11-05,$117.80 ,8668123,$118.17 ,$119.53 ,$116.25 
2021-11-04,$117.79 ,14682840,$113.37 ,$117.85 ,$112.41 
2021-11-03,$114.01 ,6073019,$113.44 ,$114.10 ,$112.73 
2021-11-02,$114.11 ,4479656,$113.59 ,$114.80 ,$113.54 
2021-11-01,$114.12 ,4955700,$113.58 ,$114.34 ,$113.35 
2021-10-29,$113.70 ,7118867,$114.07 ,$114.19 ,$113.22 
2021-10-28,$116.01 ,5714261,$113.66 ,$116.02 ,$113.54 
2021-10-27,$113.75 ,5394494,$114.03 ,$115.06 ,$113.71 
2021-10-26,$114.18 ,4852307,$114.94 ,$115.30 ,$113.72 
2021-10-25,$113.64 ,6667685,$114.40 ,$114.55 ,$113.11 
2021-10-22,$114.23 ,6283013,$116.24 ,$117.15 ,$114.23 
2021-10-21,$116.29 ,4640287,$115.01 ,$116.35 ,$114.61 
2021-10-20,$115.59 ,8205785,$116.88 ,$117.03 ,$115.55 
2021-10-19,$116.96 ,5406087,$115.80 ,$116.98 ,$115.63 
2021-10-18,$115.34 ,6773808,$113.42 ,$115.35 ,$113.42 
2021-10-15,$114.86 ,11558810,$114.78 ,$114.95 ,$112.96 
2021-10-14,$112.56 ,16930480,$114.14 ,$114.74 ,$111.16 
2021-10-13,$109.98 ,7845095,$109.32 ,$110.05 ,$108.95 
2021-10-12,$109.20 ,9294631,$110.47 ,$111.03 ,$108.56 
2021-10-11,$110.26 ,5318487,$110.08 ,$111.71 ,$109.90 
2021-10-08,$110.04 ,5143409,$110.98 ,$111.07 ,$109.51 
2021-10-07,$110.83 ,7821918,$111.00 ,$111.71 ,$110.49 
2021-10-06,$109.34 ,7553611,$108.44 ,$109.52 ,$107.58 
2021-10-05,$109.26 ,8039615,$109.80 ,$110.35 ,$109.22 
2021-10-04,$109.02 ,8514511,$111.00 ,$111.43 ,$108.52 
2021-10-01,$111.56 ,5315200,$112.00 ,$112.30 ,$110.30 
2021-09-30,$111.65 ,6437891,$112.43 ,$113.35 ,$111.65 
2021-09-29,$111.62 ,6522356,$112.30 ,$112.85 ,$111.02 
2021-09-28,$111.90 ,9792250,$114.33 ,$115.04 ,$111.85 
2021-09-27,$116.15 ,5198843,$115.70 ,$116.57 ,$115.01 
2021-09-24,$115.64 ,4455865,$116.00 ,$116.56 ,$115.53 
2021-09-23,$116.19 ,5484707,$116.97 ,$116.97 ,$115.59 
2021-09-22,$115.87 ,5345592,$115.23 ,$116.24 ,$114.91 
2021-09-21,$114.96 ,8182230,$115.65 ,$115.87 ,$114.55 
2021-09-20,$114.70 ,8991029,$115.20 ,$116.01 ,$113.55 
2021-09-17,$117.75 ,10729200,$120.19 ,$120.47 ,$117.69 
2021-09-16,$120.79 ,7301357,$120.00 ,$121.13 ,$119.35 
2021-09-15,$121.50 ,5566531,$122.41 ,$122.50 ,$120.88 
2021-09-14,$123.09 ,5110493,$123.63 ,$123.63 ,$122.40 
2021-09-13,$123.62 ,6622769,$122.94 ,$124.10 ,$122.20 
2021-09-10,$122.97 ,5163940,$123.02 ,$124.34 ,$122.89 
2021-09-09,$122.68 ,5101323,$122.19 ,$123.49 ,$121.88 
2021-09-08,$121.89 ,7983285,$122.97 ,$123.14 ,$121.23 
2021-09-07,$124.70 ,9746856,$124.62 ,$125.28 ,$123.89 
2021-09-03,$123.97 ,10369890,$121.58 ,$124.48 ,$121.26 
2021-09-02,$120.79 ,6869814,$120.94 ,$121.39 ,$120.46 
2021-09-01,$120.46 ,8603893,$120.22 ,$121.36 ,$119.56 
2021-08-31,$119.01 ,8424941,$120.01 ,$120.80 ,$118.70 
2021-08-30,$118.99 ,6434244,$118.88 ,$119.50 ,$118.47 
2021-08-27,$118.49 ,6827711,$118.33 ,$119.30 ,$117.69 
2021-08-26,$118.10 ,9892122,$117.98 ,$118.46 ,$116.35 
2021-08-25,$117.03 ,22106790,$115.71 ,$119.18 ,$115.61 
2021-08-24,$112.11 ,6719811,$111.82 ,$113.07 ,$111.80 
2021-08-23,$110.96 ,9533453,$110.08 ,$111.33 ,$109.27 
2021-08-20,$108.12 ,13042020,$109.14 ,$109.71 ,$107.73 
2021-08-19,$110.52 ,12146910,$109.00 ,$110.97 ,$107.68 
2021-08-18,$110.45 ,9167291,$111.74 ,$113.00 ,$110.38 
2021-08-17,$111.11 ,13398800,$113.73 ,$113.85 ,$110.75 
2021-08-16,$114.63 ,5439250,$115.10 ,$115.48 ,$114.10 
2021-08-13,$115.50 ,4593208,$115.07 ,$115.52 ,$114.49 
2021-08-12,$115.70 ,6345036,$115.55 ,$115.95 ,$114.44 
